"Description: ","Maximum monthly number of consecutive dry days (when precipitation < 1.0 mm)"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, cdd, normalised (all years)
1936-01, 4, -1.16484321545114
1936-02, 14, 0.320506494324663
1936-03, 7, -0.719238302518397
1936-04, 12, 0.0234365523695033
1936-05, 13, 0.171971523347083
1936-06, 8, -0.570703331540817
1936-07, 11, -0.125098418608077
1936-08, 13, 0.171971523347083
1936-09, 7, -0.719238302518397
1936-10, 13, 0.171971523347083
1936-11, 15, 0.469041465302243
1936-12, 15, 0.469041465302243
1937-01, 7, -0.719238302518397
1937-02, 10, -0.273633389585657
1937-03, 6, -0.867773273495977
1937-04, 15, 0.469041465302243
1937-05, 13, 0.171971523347083
1937-06, 7, -0.719238302518397
1937-07, 8, -0.570703331540817
1937-08, 8, -0.570703331540817
1937-09, 13, 0.171971523347083
1937-10, 7, -0.719238302518397
1937-11, 6, -0.867773273495977
1937-12, 10, -0.273633389585657
1938-01, 16, 0.617576436279824
1938-02, 11, -0.125098418608077
1938-03, 8, -0.570703331540817
1938-04, 11, -0.125098418608077
1938-05, 7, -0.719238302518397
1938-06, 10, -0.273633389585657
1938-07, 13, 0.171971523347083
1938-08, 7, -0.719238302518397
1938-09, 10, -0.273633389585657
1938-10, 8, -0.570703331540817
1938-11, 7, -0.719238302518397
1938-12, 26, 2.10292614605562
1939-01, 11, -0.125098418608077
1939-02, 18, 0.914646378234984
1939-03, 12, 0.0234365523695033
1939-04, 8, -0.570703331540817
1939-05, 9, -0.422168360563237
1939-06, 15, 0.469041465302243
1939-07, 13, 0.171971523347083
1939-08, 10, -0.273633389585657
1939-09, 29, 2.54853105898836
1939-10, 8, -0.570703331540817
1939-11, 7, -0.719238302518397
1939-12, 12, 0.0234365523695033
1940-01, 8, -0.570703331540817
1940-02, 21, 1.36025129116772
1940-03, 13, 0.171971523347083
1940-04, 13, 0.171971523347083
1940-05, 6, -0.867773273495977
1940-06, 15, 0.469041465302243
1940-07, 7, -0.719238302518397
1940-08, 25, 1.95439117507804
1940-09, 9, -0.422168360563237
1940-10, 17, 0.766111407257404
1940-11, 7, -0.719238302518397
1940-12, 5, -1.01630824447356
1941-01, 9, -0.422168360563237
1941-02, 6, -0.867773273495977
1941-03, 18, 0.914646378234984
1941-04, 14, 0.320506494324663
1941-05, 8, -0.570703331540817
1941-06, 12, 0.0234365523695033
1941-07, 11, -0.125098418608077
1941-08, 22, 1.5087862621453
1941-09, 5, -1.01630824447356
1941-10, 10, -0.273633389585657
1941-11, 8, -0.570703331540817
1941-12, 18, 0.914646378234984
1942-01, 17, 0.766111407257404
1942-02, 7, -0.719238302518397
1942-03, 20, 1.21171632019014
1942-04, 24, 1.80585620410046
1942-05, 24, 1.80585620410046
1942-06, 6, -0.867773273495977
1942-07, 13, 0.171971523347083
1942-08, 12, 0.0234365523695033
1942-09, 14, 0.320506494324663
1942-10, 5, -1.01630824447356
1942-11, 9, -0.422168360563237
1942-12, 8, -0.570703331540817
1943-01, 18, 0.914646378234984
1943-02, 19, 1.06318134921256
1943-03, 14, 0.320506494324663
1943-04, 15, 0.469041465302243
1943-05, 12, 0.0234365523695033
1943-06, 10, -0.273633389585657
1943-07, 9, -0.422168360563237
1943-08, 29, 2.54853105898836
1943-09, 7, -0.719238302518397
1943-10, 9, -0.422168360563237
1943-11, 3, -1.31337818642872
1943-12, 10, -0.273633389585657
1944-01, 8, -0.570703331540817
1944-02, 11, -0.125098418608077
1944-03, 10, -0.273633389585657
1944-04, 8, -0.570703331540817
1944-05, 20, 1.21171632019014
1944-06, 17, 0.766111407257404
1944-07, 8, -0.570703331540817
1944-08, 9, -0.422168360563237
1944-09, 17, 0.766111407257404
1944-10, 12, 0.0234365523695033
1944-11, 14, 0.320506494324663
1944-12, 7, -0.719238302518397
1945-01, 13, 0.171971523347083
1945-02, 10, -0.273633389585657
1945-03, 15, 0.469041465302243
