"Description: ","Annual number of days with at least 1 consecutive days when TN < 10th percentile"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, csdi1, normalised (all years)
1936, -99.9, -99.9
1937, -99.9, -99.9
1938, 64, 0.774612925506958
1939, -99.9, -99.9
1940, 58, 0.4963846094065
1941, 86, 1.79478341787531
1942, 72, 1.1455840136409
1943, 101, 2.49035420812645
1944, 95, 2.21212589202599
1945, 74, 1.23832678567439
1946, 80, 1.51655510177485
1947, 66, 0.867355697540444
1948, -99.9, -99.9
1949, -99.9, -99.9
1950, 31, -0.755642813045563
1951, 59, 0.542755995423243
1952, 66, 0.867355697540444
1953, 64, 0.774612925506958
1954, 57, 0.450013223389757
1955, 58, 0.4963846094065
1956, 70, 1.05284124160742
1957, -99.9, -99.9
1958, -99.9, -99.9
1959, 36, -0.523785882961848
1960, 62, 0.681870153473472
1961, 53, 0.264527679322784
1962, 55, 0.35727045135627
1963, 51, 0.171784907289298
1964, 57, 0.450013223389757
1965, -99.9, -99.9
1966, -99.9, -99.9
1967, -99.9, -99.9
1968, -99.9, -99.9
1969, 47, -0.0137006367776741
1970, -99.9, -99.9
1971, -99.9, -99.9
1972, -99.9, -99.9
1973, -99.9, -99.9
1974, -99.9, -99.9
1975, -99.9, -99.9
1976, 31, -0.755642813045563
1977, 27, -0.941128357112536
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 37, -0.477414496945105
1983, -99.9, -99.9
1984, -99.9, -99.9
1985, 37, -0.477414496945105
1986, -99.9, -99.9
1987, -99.9, -99.9
1988, -99.9, -99.9
1989, 22, -1.17298528719625
1990, 25, -1.03387112914602
1991, -99.9, -99.9
1992, -99.9, -99.9
1993, -99.9, -99.9
1994, -99.9, -99.9
1995, -99.9, -99.9
1996, -99.9, -99.9
1997, 30, -0.802014199062306
1998, 31, -0.755642813045563
1999, 30, -0.802014199062306
2000, 39, -0.384671724911619
2001, 18, -1.35847083126322
2002, -99.9, -99.9
2003, 32, -0.70927142702882
2004, 28, -0.894756971095792
2005, 33, -0.662900041012077
2006, 29, -0.848385585079049
2007, 15, -1.49758498931345
2008, 49, 0.079042135255812
2009, -99.9, -99.9
2010, -99.9, -99.9
2011, 26, -0.987499743129279
2012, 35, -0.570157268978591
2013, 17, -1.40484221727997
2014, -99.9, -99.9
2015, 28, -0.894756971095792
