"Description: ","Maximum monthly number of consecutive wet days (when precipitation >= 1.0 mm)"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, cwd, normalised (all years)
1936-01, 2, -0.782609643454909
1936-02, 3, -0.281070753123325
1936-03, 2, -0.782609643454909
1936-04, 4, 0.220468137208259
1936-05, 6, 1.22354591787143
1936-06, 4, 0.220468137208259
1936-07, 2, -0.782609643454909
1936-08, 2, -0.782609643454909
1936-09, 3, -0.281070753123325
1936-10, 1, -1.28414853378649
1936-11, 2, -0.782609643454909
1936-12, 4, 0.220468137208259
1937-01, 2, -0.782609643454909
1937-02, 3, -0.281070753123325
1937-03, 4, 0.220468137208259
1937-04, 6, 1.22354591787143
1937-05, 2, -0.782609643454909
1937-06, 5, 0.722007027539843
1937-07, 8, 2.22662369853459
1937-08, 3, -0.281070753123325
1937-09, 2, -0.782609643454909
1937-10, 3, -0.281070753123325
1937-11, 5, 0.722007027539843
1937-12, 4, 0.220468137208259
1938-01, 8, 2.22662369853459
1938-02, 3, -0.281070753123325
1938-03, 2, -0.782609643454909
1938-04, 3, -0.281070753123325
1938-05, 5, 0.722007027539843
1938-06, 1, -1.28414853378649
1938-07, 2, -0.782609643454909
1938-08, 8, 2.22662369853459
1938-09, 2, -0.782609643454909
1938-10, 5, 0.722007027539843
1938-11, 3, -0.281070753123325
1938-12, 1, -1.28414853378649
1939-01, 3, -0.281070753123325
1939-02, 1, -1.28414853378649
1939-03, 5, 0.722007027539843
1939-04, 5, 0.722007027539843
1939-05, 4, 0.220468137208259
1939-06, 2, -0.782609643454909
1939-07, 2, -0.782609643454909
1939-08, 2, -0.782609643454909
1939-09, 4, 0.220468137208259
1939-10, 3, -0.281070753123325
1939-11, 2, -0.782609643454909
1939-12, 2, -0.782609643454909
1940-01, 2, -0.782609643454909
1940-02, 4, 0.220468137208259
1940-03, 1, -1.28414853378649
1940-04, 2, -0.782609643454909
1940-05, 6, 1.22354591787143
1940-06, 2, -0.782609643454909
1940-07, 3, -0.281070753123325
1940-08, 4, 0.220468137208259
1940-09, 3, -0.281070753123325
1940-10, 5, 0.722007027539843
