"Description: ","Mean monthly difference between daily TX and daily TN"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, dtr, normalised (all years)
1936-01, 6.17241379310345, -1.62378237877498
1936-02, 5.85172413793103, -1.90747356333047
1936-03, 7.50645161290323, -0.443654603411162
1936-04, 8.57, 0.497190531132826
1936-05, 9.6, 1.40835780883952
1936-06, 9.50666666666667, 1.32579248917678
1936-07, 9.03870967741936, 0.911824434830865
1936-08, 9.55806451612903, 1.37126048779289
1936-09, 10.09, 1.84182573706892
1936-10, 9.39354838709677, 1.2257248436869
1936-11, 9.51666666666667, 1.33463877342636
1936-12, 6.56129032258065, -1.27977114700045
1937-01, 7.41612903225806, -0.523556525665436
1937-02, 6.45, -1.37822172977804
1937-03, 7.56129032258065, -0.395142722042499
1937-04, 7.43333333333333, -0.508337111902717
1937-05, 9.10322580645161, 0.968897236441048
1937-06, 6.39666666666667, -1.42540191244246
1937-07, 9.62903225806452, 1.43404056956411
1937-08, 8.95483870967742, 0.837629792737613
1937-09, 9.78620689655173, 1.57308172245238
1937-10, 6.2, -1.59937883601752
1937-11, 6.70666666666667, -1.15116710070549
1937-12, 6.88387096774194, -0.9944071389495
1938-01, 7.07096774193548, -0.828896014279955
1938-02, 7.71071428571429, -0.262958036884612
1938-03, 7.38064516129032, -0.554946566551039
1938-04, 8.14333333333333, 0.11974906981743
1938-05, 7.88064516129032, -0.112632354072062
1938-06, 10.1666666666667, 1.90964724964905
1938-07, 9.23870967741935, 1.08875011982245
1938-08, 8.71612903225807, 0.626460426779913
1938-09, 8.88666666666667, 0.777322865702848
1938-10, 7.65161290322581, -0.315240799788234
1938-11, 7.28, -0.643980137062934
1938-12, 9.31290322580645, 1.15438384167417
1939-01, 7.26333333333333, -0.658723944145569
1939-02, 7.53571428571429, -0.417768011252254
1939-03, 5.42258064516129, -2.28710609542032
1939-04, 6.96666666666667, -0.921163710216423
1939-05, 8.5, 0.435266541385769
1939-06, 8.71666666666667, 0.626936033459996
1939-07, 9.19354838709677, 1.04879915869531
1939-08, 9.98064516129032, 1.74508733833964
1939-09, 9.79666666666667, 1.58233473241459
1939-10, 7.93225806451613, -0.0669741127839065
1939-11, 8.03333333333333, 0.0224399430720544
1939-12, 9.01290322580645, 0.888995314186783
1940-01, 7.95483870967742, -0.0469986322203407
1940-02, 7.45172413793103, -0.492068083397745
1940-03, 8.29354838709677, 0.252633576233156
1940-04, 7.27, -0.652826421312514
1940-05, 8.12258064516129, 0.101390651966155
1940-06, 9.19666666666667, 1.05155767743981
1940-07, 9.39677419354839, 1.22857848376742
1940-08, 9.66451612903226, 1.46543061044971
1940-09, 9.79, 1.57643720958153
1940-10, 8.88387096774193, 0.774849710966398
1940-11, 7.94, -0.0601253765906844
1940-12, 7.18064516129032, -0.73187225154263
1941-01, 6.01935483870968, -1.75918268052605
1941-02, 6.97142857142857, -0.916951193907104
1941-03, 7.26129032258064, -0.660531249529894
1941-04, 8.06, 0.0460300344042702
1941-05, 9.30322580645161, 1.14582292143264
1941-06, 8.53333333333333, 0.464754155551031
1941-07, 9.06774193548387, 0.937507195555445
1941-08, 9.62903225806452, 1.43404056956411
1941-09, 9.87333333333333, 1.65015624499469
1941-10, 8.67741935483871, 0.592216745813794
1941-11, 8.37, 0.320264846141235
1941-12, 7.88387096774194, -0.109778713991547
1942-01, 8.05483870967742, 0.0414642102754544
1942-02, 6.03571428571429, -1.74471064868918
1942-03, 6.79677419354839, -1.07145542112326
1942-04, 8.29333333333333, 0.252443333561122
1942-05, 8.05483870967742, 0.0414642102754544
1942-06, 7.31, -0.617441284314196
1942-07, 7.51612903225806, -0.435093683169641
1942-08, 9.85806451612903, 1.63664901528028
1942-09, 10.1833333333333, 1.92439105673163
1942-10, 7.69677419354839, -0.2752898386611
1942-11, 7.78, -0.201665924583957
1942-12, 7.48709677419355, -0.460776443894221
1943-01, 7.15483870967742, -0.754701372186703
1943-02, 8.45714285714286, 0.39735389460186
1943-03, 6.8, -1.06860178104275
1943-04, 9.07666666666667, 0.945402266444859
1943-05, 7.1258064516129, -0.780384132911292
1943-06, 7.74333333333333, -0.234102300165752
1943-07, 8.98064516129032, 0.860458913381687
1943-08, 7.3, -0.626287568563775
1943-09, 7.81666666666667, -0.169229549002163
1943-10, 7.44193548387097, -0.500727405021354
1943-11, 6.51, -1.32514402428056
1943-12, 6.51290322580645, -1.3225757482081
1944-01, 7.14193548387097, -0.76611593250874
1944-02, 7.8551724137931, -0.13516627056988
1944-03, 7.71935483870968, -0.255314358097534
1944-04, 9.26, 1.10758414435381
1944-05, 7.81935483870968, -0.166851515601739
1944-06, 7.98333333333333, -0.0217914781758431
1944-07, 8.19032258064516, 0.161317093656854
1944-08, 7.50967741935484, -0.440800963330655
1944-09, 9.57666666666667, 1.38771647892384
1944-10, 9.78709677419355, 1.57386893350907
1944-11, 9.47333333333333, 1.29630487501151
1944-12, 8.62258064516129, 0.543704864445132
1945-01, 6.40967741935484, -1.4138922307844
1945-02, 7.00357142857143, -0.888516708819167
1945-03, 7.74838709677419, -0.229631597372954
1945-04, 8.03333333333333, 0.0224399430720544
1945-05, 8.35161290322581, 0.303999097682334
1945-06, 5.77333333333333, -1.97682029733292
1945-07, 8, -0.0070476710932075
1945-08, 8.63548387096774, 0.555119424767167
1945-09, 10.1266666666667, 1.87426211265074
1945-10, 8.53225806451613, 0.463802942190865
1945-11, 8.97333333333333, 0.85399066253253
1945-12, 7.8258064516129, -0.161144235440725
1946-01, 7.67096774193548, -0.298118959305183
1946-02, 6.88571428571429, -0.992776487474924
1946-03, 7.41935483870968, -0.52070288558492
1946-04, 6.59, -1.25437375028392
1946-05, 8.97741935483871, 0.85760527330118
1946-06, 8.12, 0.0991077399017462
1946-07, 9.34516129032258, 1.18292024247926
1946-08, 10.9451612903226, 2.59832572241201
1946-09, 9.62666666666667, 1.43194790017173
1946-10, 8.92258064516129, 0.809093391932517
1946-11, 8.2, 0.169878013898383
1946-12, 7.9, -0.0955105135890025
1947-01, 7.11612903225806, -0.788945053152822
1947-02, 5.68571428571429, -2.05433059742447
1947-03, 6.86774193548387, -1.00867533935205
1947-04, 7.58666666666667, -0.372694086742492
1947-05, 8.26129032258065, 0.224097175428069
1947-06, 9.11666666666667, 0.980787403443177
1947-07, 9.23870967741935, 1.08875011982245
1947-08, 9.22258064516129, 1.0744819194199
1947-09, 9.53, 1.34643381909246
1947-10, 9.14516129032258, 1.00599455748767
1947-11, 6.98333333333333, -0.906419903133797
1947-12, 7.00645161290323, -0.885968815890139
1948-01, 6.61612903225806, -1.2312592656318
1948-02, 6.6448275862069, -1.20587170905347
1948-03, 7.53225806451613, -0.420825482767088
