"Description: ","Heatwave definitions and aspects"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, CWM, CWA, CWN, CWD, CWF
1936, -2.41934351851852, -7.95397222222223, 3, 10, 19
1937, -0.726983465608469, -3.87644444444445, 4, 14, 23
1938, -1.85025873015873, -8.12666666666667, 5, 17, 41
1939, -2.48439263468014, -7.10500000000001, 3, 11, 25
1940, -1.65854513888889, -2.85541666666668, 2, 8, 12
1941, -1.47723490740741, -2.14388888888888, 5, 5, 18
1942, -2.58280084325397, -10.7525555555556, 4, 7, 18
1943, -2.40490287226002, -7.90069444444444, 7, 24, 56
1944, -1.16078208095917, -6.435, 6, 14, 45
1945, -2.75339938271605, -10.196, 3, 15, 23
1946, -1.52936203703704, -3.6088888888889, 4, 5, 14
1947, -2.02342746913581, -5.78741666666668, 4, 9, 27
1948, -1.98142493386244, -6.31955555555556, 4, 10, 25
1949, -1.96511910273369, -7.85761111111111, 4, 9, 23
1950, -2.03038194444445, -3.18994444444444, 1, 4, 4
1951, -1.74433746693122, -2.79511111111111, 4, 7, 18
1952, -2.17184731481482, -7.212, 5, 5, 20
1953, -1.46481534391535, -4.10511111111111, 4, 7, 20
1954, -1.15477361111111, -3.80422222222223, 5, 6, 20
1955, -0.622306349206351, -1.83822222222222, 4, 7, 21
1956, -1.90866203703704, -9.61833333333334, 4, 8, 18
1957, -1.74556959876544, -8.51713888888889, 4, 9, 20
1958, -4.21631069958848, -8.87194444444446, 3, 9, 16
1959, -2.35326388888889, -5.01458333333334, 2, 3, 6
1960, -2.62173919753087, -6.06527777777778, 3, 8, 15
1961, -2.46926099537037, -7.81666666666668, 4, 8, 21
1962, -3.40585555555556, -10.1626666666667, 2, 5, 10
1963, -2.2297044973545, -7.28355555555555, 3, 10, 22
1964, -1.94342685185186, -4.98788888888889, 2, 5, 8
1965, -2.58583597883598, -6.31000000000001, 3, 7, 13
1966, -1.66895804398148, -7.43788888888889, 4, 8, 19
1967, -2.41480555555555, -3.83208333333333, 1, 3, 3
1968, -1.62650661375662, -5.43797222222222, 3, 8, 19
1969, -99.9, -99.9, 0, -99.9, 0
1970, -2.01449089506173, -5.22958333333334, 3, 6, 15
1971, -1.4077544367284, -6.18125, 6, 8, 28
1972, -1.97113888888889, -3.6526388888889, 1, 5, 5
1973, -99.9, -99.9, 0, -99.9, 0
1974, -2.03892534722223, -9.6285, 4, 6, 17
1975, -1.34176180555556, -1.58494444444444, 2, 5, 9
1976, -1.1968113425926, -3.17550000000001, 2, 4, 7
1977, -0.869672839506175, -3.234, 3, 6, 13
1978, -2.20590025252526, -4.89713888888889, 2, 11, 14
1979, -0.521055555555558, -1.415, 1, 6, 6
1980, -3.10854861111112, -4.75500000000001, 1, 4, 4
1981, -1.8887175925926, -5.62500000000001, 2, 6, 9
1982, -2.41825749559083, -9.62316666666667, 3, 7, 16
1983, -2.68834475308642, -8.29261111111112, 3, 10, 17
1984, -2.84353395061729, -9.29583333333335, 1, 9, 9
1985, -1.93385694444445, -5.30969444444445, 2, 5, 9
1986, -3.18608788029101, -15.8008333333333, 4, 7, 20
1987, -1.43978240740741, -2.567, 3, 6, 12
1988, -99.9, -99.9, 0, -99.9, 0
1989, -1.45170084175084, -7.39016666666667, 3, 11, 19
1990, -1.3305763888889, -3.5063888888889, 1, 8, 8
1991, -0.975800000000001, -1.48983333333334, 1, 5, 5
1992, -1.17156423611112, -3.238, 4, 4, 14
1993, -0.559972222222223, -0.932555555555555, 1, 4, 4
1994, -1.90556944444445, -3.25613888888889, 1, 4, 4
1995, -2.27650257936508, -7.7525, 4, 7, 22
1996, -1.75776234567902, -4.31383333333334, 2, 9, 12
1997, -0.822561111111113, -4.2185, 4, 5, 16
1998, -1.01712962962964, -2.21950000000001, 2, 3, 6
1999, -0.266425925925927, -0.539777777777783, 1, 3, 3
2000, -2.58043518518519, -3.09222222222223, 1, 3, 3
2001, -99.9, -99.9, 0, -99.9, 0
2002, -0.484583333333333, -1.10133333333333, 1, 4, 4
2003, -1.02371527777778, -1.47822222222222, 1, 4, 4
2004, -1.87341111111111, -3.84675, 1, 5, 5
2005, -99.9, -99.9, 0, -99.9, 0
2006, -99.9, -99.9, 0, -99.9, 0
2007, -2.01432256944445, -6.20486111111112, 2, 8, 13
2008, -0.789756365740744, -2.67605555555556, 2, 8, 11
2009, -99.9, -99.9, 0, -99.9, 0
2010, -4.03768055555556, -6.99827777777779, 1, 6, 6
2011, -2.23421296296297, -3.70547222222223, 1, 3, 3
2012, -99.9, -99.9, 0, -99.9, 0
2013, -99.9, -99.9, 0, -99.9, 0
2014, -99.9, -99.9, 0, -99.9, 0
2015, -1.17623302469136, -3.24041666666666, 3, 6, 13
