"Description: ","Heatwave definitions and aspects"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, HWM, HWA, HWN, HWD, HWF
1936, 2.11722222222223, 4.19182222222223, 1, 5, 5
1937, -99.9, -99.9, 0, -99.9, 0
1938, 1.68426203703703, 2.11285555555554, 1, 3, 3
1939, 0.485097222222217, 0.736499999999997, 1, 4, 4
1940, 7.87410185185186, 10.2008888888889, 1, 3, 3
1941, 2.93759861111111, 5.41402777777777, 1, 4, 4
1942, 4.97184837962963, 18.3438888888889, 4, 6, 16
1943, -99.9, -99.9, 0, -99.9, 0
1944, -99.9, -99.9, 0, -99.9, 0
1945, -99.9, -99.9, 0, -99.9, 0
1946, 13.9856603009259, 78.1779333333332, 4, 4, 13
1947, 10.3974555555556, 16.4436555555556, 1, 3, 3
1948, -99.9, -99.9, 0, -99.9, 0
1949, -99.9, -99.9, 0, -99.9, 0
1950, 0.863154960317457, 2.21859166666665, 2, 7, 10
1951, 1.79134861111111, 3.4286, 1, 8, 8
1952, 2.99299999999999, 4.77244444444444, 1, 3, 3
1953, 13.6996888888889, 21.4966111111111, 1, 3, 3
1954, 6.84476736111111, 24.4128888888889, 2, 5, 9
1955, -99.9, -99.9, 0, -99.9, 0
1956, 1.34139537037037, 2.40780555555555, 1, 3, 3
1957, 3.32238364197531, 10.1383611111111, 3, 6, 12
1958, 2.6980898919753, 7.22882777777775, 6, 4, 19
1959, -99.9, -99.9, 0, -99.9, 0
1960, 12.9541923611111, 21.33825, 1, 4, 4
1961, -99.9, -99.9, 0, -99.9, 0
1962, 9.65555555555555, 16.1325, 1, 3, 3
1963, 1.33519259259259, 4.74413333333332, 2, 4, 7
1964, 1.38604155092591, 5.14427777777776, 2, 4, 7
1965, 4.85821666666665, 14.5369444444444, 3, 4, 10
1966, -99.9, -99.9, 0, -99.9, 0
1967, 1.98361265432099, 3.31953333333332, 1, 9, 9
1968, 3.19080555555556, 4.94888888888889, 1, 2, 2
1969, 4.16424126984126, 14.1447388888889, 1, 7, 7
1970, -99.9, -99.9, 0, -99.9, 0
1971, -99.9, -99.9, 0, -99.9, 0
1972, -99.9, -99.9, 0, -99.9, 0
1973, 0.78445864197531, 2.06718055555556, 3, 5, 11
1974, 1.56966327160493, 4.58111111111111, 3, 4, 11
1975, 3.49531157407407, 19.0536111111111, 2, 8, 11
1976, -99.9, -99.9, 0, -99.9, 0
1977, 1.37445370370371, 3.72016666666668, 1, 3, 3
1978, -99.9, -99.9, 0, -99.9, 0
1979, -99.9, -99.9, 0, -99.9, 0
1980, 3.219925, 5.62611111111111, 2, 3, 6
1981, 6.46544537037036, 10.0378055555556, 1, 3, 3
1982, 1.1839074074074, 1.62788888888889, 1, 3, 3
1983, -99.9, -99.9, 0, -99.9, 0
1984, -99.9, -99.9, 0, -99.9, 0
1985, -99.9, -99.9, 0, -99.9, 0
1986, 2.08183333333334, 4.34720000000002, 1, 3, 3
1987, 0.872627314814813, 1.42083333333333, 2, 4, 7
1988, 4.91900453703704, 17.9050833333333, 3, 5, 12
1989, 4.62271574074074, 19.028, 2, 3, 6
1990, 4.29172037037036, 14.2224444444444, 2, 3, 6
1991, 0.756306342592592, 2.14199999999999, 4, 5, 16
1992, 3.23589976851852, 10.4448888888889, 2, 4, 7
1993, 0.626367592592592, 1.29157777777778, 1, 3, 3
1994, 1.89516671296296, 3.59449999999999, 3, 5, 12
1995, 6.13281950231481, 39.9526111111111, 4, 12, 23
1996, 6.15357679012345, 16.6911666666667, 3, 5, 11
1997, 0.495416666666668, 0.835000000000004, 1, 4, 4
1998, 18.0910240740741, 34.8431666666667, 1, 6, 6
1999, 0.635481018518516, 1.31144444444444, 2, 3, 6
2000, -99.9, -99.9, 0, -99.9, 0
2001, 1.00474583333333, 1.90755555555556, 1, 4, 4
2002, 2.98745972222222, 7.60319999999998, 3, 6, 15
2003, 5.41223189814815, 28.6443888888889, 5, 4, 17
2004, 0.872958333333332, 1.20575, 1, 3, 3
2005, 0.936302116402118, 2.52, 2, 7, 10
2006, 9.26474456018517, 16.8498333333333, 2, 6, 10
2007, 4.845168505291, 19.9766111111111, 5, 7, 23
2008, 5.96529475308642, 21.6098555555556, 3, 4, 10
2009, 2.87221617063492, 8.61801111111111, 7, 4, 23
2010, -99.9, -99.9, 0, -99.9, 0
2011, 7.41724742063492, 14.7832222222222, 2, 7, 10
2012, 5.39397037037036, 12.8278999999999, 3, 3, 9
2013, 4.72794587962963, 15.5711111111111, 5, 7, 21
2014, 3.11314747596154, 15.28, 4, 13, 24
2015, -99.9, -99.9, 0, -99.9, 0
