"Description: ","Annual sum of TM - 18"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, gddgrow18, normalised (all years)
1936, 544.5, -1.20427736524804
1937, 600.1, -0.684513003363655
1938, 695.15, 0.204041000181506
1939, 636.9, -0.3404963034114
1940, 713.35, 0.374179694179633
1941, 513.2, -1.49687852580526
1942, 611.05, -0.58214933856808
1943, 476.85, -1.83668849980701
1944, 635.9, -0.349844583301407
1945, 517.75, -1.45434385230573
1946, 616.7, -0.52933155718954
1947, 509.15, -1.53473905935979
1948, 471.75, -1.88436472724605
1949, 529.95, -1.34029483764764
1950, 534.15, -1.30103206210961
1951, 543.9, -1.20988633318205
1952, 553.65, -1.11874060425448
1953, 560.95, -1.05049816105743
1954, 594, -0.741537510692698
1955, 620.05, -0.498014819558017
1956, 617.8, -0.519048449310533
1957, 589.1, -0.787344082153732
1958, 681.15, 0.0731650817214082
1959, 653.75, -0.182977787264782
1960, 573.65, -0.93177500645434
1961, 601.95, -0.667218685567142
1962, 550.45, -1.1486550999025
1963, 605.3, -0.63590194793562
1964, 652.6, -0.19372830913829
1965, 581, -0.863065149262788
1966, 585.15, -0.82426978771926
1967, 568.95, -0.975711921937372
1968, 770.15, 0.905161991932028
1969, 666.6, -0.0628523906781926
1970, 642.6, -0.28721110803836
1971, 628.05, -0.423228580437961
1972, 579.75, -0.874750499125297
1973, 794.3, 1.1309229512757
1974, 613.3, -0.561115708815564
1975, 675.2, 0.0175428163758675
1976, 663.5, -0.0918320583372144
1977, 782.9, 1.02435256052962
1978, 690.35, 0.159169256709473
1979, 769.1, 0.895346298047521
1980, 806.25, 1.24263489596128
1981, 727.95, 0.510664580573735
1982, 709.6, 0.339123644592107
1983, 727, 0.501783714678227
1984, 593.5, -0.746211650637701
1985, 675.3, 0.0184776443648673
1986, 640.6, -0.305907667818374
1987, 666.05, -0.0679939446176971
1988, 769.5, 0.899085610003523
1989, 698.6, 0.23629256580203
1990, 762.4, 0.832712822784474
1991, 758.9, 0.799993843169449
1992, 541.3, -1.23419186089607
1993, 663.9, -0.0880927463812118
1994, 676.5, 0.0296955802328761
1995, 565.05, -1.0121702135084
1996, -99.9, -99.9
1997, 754.2, 0.756056927686417
1998, 839.7, 1.55533485828201
1999, 649, -0.227382116742315
2000, 775.2, 0.952370805376563
2001, 813.5, 1.31040992516383
2002, 791.45, 1.10428035358918
2003, 722.45, 0.459249041178696
2004, 850.75, 1.65863335106659
2005, 827.15, 1.43801394566242
2006, 857.85, 1.72500613828564
2007, 818.3, 1.35528166863586
2008, 665.95, -0.0689287726066969
2009, 816.75, 1.34079183480635
2010, 838.95, 1.54832364836451
2011, 793.05, 1.11923760141319
2012, 732.35, 0.551797012089765
2013, 868.1, 1.82082600715821
2014, 881.35, 1.9446907157008
2015, 898.45, 2.10454630181992
