"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, prcptot, normalised (all years)
1936-01, 110.6, 0.105113303265057
1936-02, 125.5, 0.265624522188896
1936-03, 99.9, -0.0101531425393099
1936-04, 46.3, -0.587562628063991
1936-05, 54.8, -0.495995825322203
1936-06, 70.7, -0.324712041369919
1936-07, 18.6, -0.885962679351932
1936-08, 32.1, -0.740533051467917
1936-09, 32.1, -0.740533051467917
1936-10, 29, -0.773928003056098
1936-11, 6.3, -1.01846522920181
1936-12, 121, 0.217147979560891
1937-01, 50.6, -0.541240598441675
1937-02, 30.8, -0.754537386004896
1937-03, 229.8, 1.38920305465576
1937-04, 140.2, 0.423981228107045
1937-05, 18.1, -0.891348961866155
1937-06, 399.1, 3.21299831397159
1937-07, 79.7, -0.22775895611391
1937-08, 104.5, 0.0394006565915395
1937-09, 12.2, -0.954907095533983
1937-10, 80.9, -0.214831878079775
1937-11, 91.3, -0.102797201783942
1937-12, 61.7, -0.421665126625929
1938-01, 237.3, 1.46999729236911
1938-02, 88.9, -0.128651357852211
1938-03, 33.5, -0.725451460428093
1938-04, 60, -0.439978487174287
1938-05, 94.3, -0.0704795066986049
1938-06, 9.9, -0.979683995099408
1938-07, 69, -0.343025401918277
1938-08, 210.2, 1.17806078009823
1938-09, 45.9, -0.591871654075369
1938-10, 73.6, -0.293471602787428
1938-11, 40.8, -0.646811735720441
1938-12, 11.4, -0.963525147556739
1939-01, 79.7, -0.22775895611391
1939-02, 2, -1.06478725882413
1939-03, 273.4, 1.85888688989599
1939-04, 98.3, -0.0273892465848228
1939-05, 77.3, -0.253613112182179
1939-06, 17, -0.903198783397445
1939-07, 29.2, -0.771773490050409
1939-08, 72.9, -0.301012398307339
1939-09, 72.3, -0.307475937324407
1939-10, 47.5, -0.574635550029856
1939-11, 49.8, -0.549858650464431
1939-12, 11.6, -0.961370634551051
1940-01, 13.2, -0.944134530505538
1940-02, 18.7, -0.884885422849087
1940-03, 13.7, -0.938748247991315
1940-04, 153.2, 0.564024573476837
1940-05, 148.5, 0.513393517843143
1940-06, 38.9, -0.667279609274487
1940-07, 117.9, 0.18375302797271
1940-08, 61.2, -0.427051409140152
1940-09, 79.6, -0.228836212616754
1940-10, 64.5, -0.391501944546282
1940-11, 59.8, -0.442133000179976
1940-12, 210.9, 1.18560157561814
1941-01, 94.2, -0.0715567632014494
1941-02, 48.8, -0.560631215492877
1941-03, 37.4, -0.683438456817156
1941-04, 91.4, -0.101719945281097
1941-05, 45.2, -0.599412449595281
1941-06, 49.2, -0.556322189481498
1941-07, 56.4, -0.478759721276691
1941-08, 69.6, -0.33656186290121
1941-09, 58.4, -0.4572145912198
1941-10, 48.5, -0.56386298500141
1941-11, 28.5, -0.779314285570321
1941-12, 33.3, -0.727605973433782
1942-01, 12.7, -0.94952081301976
1942-02, 33.7, -0.723296947422404
1942-03, 520.6, 4.52186496492773
1942-04, 11.7, -0.960293378048206
1942-05, 37, -0.687747482828534
1942-06, 133.9, 0.356114068427838
1942-07, 47.7, -0.572481037024167
1942-08, 26.4, -0.801936672130056
1942-09, 19.6, -0.875190114323486
1942-10, 159.2, 0.62865996364751
1942-11, 134.2, 0.359345837936372
1942-12, 92.6, -0.0887928672469624
1943-01, 60.9, -0.430283178648686
1943-02, 10.9, -0.968911430070962
1943-03, 24.5, -0.822404545684103
1943-04, 47.3, -0.576790063035545
1943-05, 363.6, 2.83057225546178
1943-06, 22.7, -0.841795162735305
1943-07, 5.6, -1.02600602472172
1943-08, 194.4, 1.00785425264879
1943-09, 220.8, 1.29224996939976
1943-10, 32.5, -0.736224025456539
1943-11, 216.8, 1.24915970928597
1943-12, 70.3, -0.329021067381298
1944-01, 60, -0.439978487174287
1944-02, 87.9, -0.139423922880656
1944-03, 71.8, -0.312862219838629
1944-04, 76.8, -0.258999394696402
1944-05, 87.1, -0.148041974903413
1944-06, 74.9, -0.279467268250448
1944-07, 89.7, -0.120033305829454
1944-08, 116.3, 0.166516923927197
1944-09, 28.4, -0.780391542073165
1944-10, 29, -0.773928003056098
1944-11, 21.1, -0.859031266780818
1944-12, 20.5, -0.865494805797885
1945-01, 59.1, -0.449673795699888
1945-02, 46.4, -0.586485371561146
1945-03, 32.6, -0.735146768953694
1945-04, 332.8, 2.49877725258565
1945-05, 184, 0.895819576352959
1945-06, 211.1, 1.18775608862383
1945-07, 79.2, -0.233145238628132
1945-08, 55.8, -0.485223260293758
1945-09, 4.5, -1.03785584625301
1945-10, 37.1, -0.686670226325689
1945-11, 55.3, -0.490609542807981
1945-12, 55.7, -0.486300516796602
1946-01, 15.4, -0.920434887442957
1946-02, 79.5, -0.229913469119599
1946-03, 103.3, 0.0264735785574049
1946-04, 264.1, 1.75870203513145
1946-05, 61.5, -0.423819639631618
1946-06, 175.4, 0.803175517108328
1946-07, 1.8, -1.06694177182982
1946-08, 2.5, -1.0594009763099
1946-09, 21.1, -0.859031266780818
1946-10, 63.7, -0.400119996569038
1946-11, 87.8, -0.140501179383501
1946-12, 19, -0.881653653340554
1947-01, 41.6, -0.638193683697684
1947-02, 147.3, 0.500466439809008
1947-03, 64, -0.396888227060505
1947-04, 185.5, 0.911978423895628
1947-05, 111.9, 0.119117637802037
1947-06, 54.3, -0.501382107836426
1947-07, 12.2, -0.954907095533983
1947-08, 41.4, -0.640348196703374
1947-09, 19.1, -0.880576396837709
1947-10, 54.3, -0.501382107836426
1947-11, 82.9, -0.193286748022884
1947-12, 214, 1.21899652720633
1948-01, 227.9, 1.36873518110172
1948-02, 69.4, -0.338716375906899
1948-03, 89.1, -0.126496844846522
1948-04, 33.2, -0.728683229936627
1948-05, 134.5, 0.362577607444906
1948-06, 187.9, 0.937832579963897
1948-07, 18.1, -0.891348961866155
1948-08, 8.4, -0.995842842642076
1948-09, 70, -0.332252836889831
1948-10, 14.7, -0.927975682962869
1948-11, 18.2, -0.89027170536331
1948-12, 94.5, -0.0683249936929158
1949-01, 272.4, 1.84811432486754
1949-02, 165.1, 0.692218097315339
1949-03, 94.5, -0.0683249936929158
1949-04, 29.2, -0.771773490050409
1949-05, 100.8, -0.000457834013708978
1949-06, 421.6, 3.45538102711162
1949-07, 57.5, -0.466909899745401
1949-08, 125.7, 0.267779035194585
1949-09, 227.9, 1.36873518110172
1949-10, 37.5, -0.682361200314311
1949-11, 85.1, -0.169587104960304
1949-12, 45.5, -0.596180680086747
1950-01, 153.9, 0.571565368996749
1950-02, 158.6, 0.622196424630443
1950-03, 135.3, 0.371195659467662
1950-04, 166.6, 0.708376944858007
1950-05, 162.5, 0.66420942824138
1950-06, 641.1, 5.81995905085541
1950-07, 334.2, 2.51385884362548
1950-08, 80.1, -0.223449930102532
1950-09, 95.3, -0.0597069416701594
1950-10, 109.5, 0.0932634817337672
1950-11, 103.8, 0.0318598610716276
1950-12, 33.4, -0.726528716930938
1951-01, 266.7, 1.7867107042054
1951-02, 55.2, -0.491686799310825
1951-03, 109.7, 0.0954179947394563
1951-04, 32.7, -0.73406951245085
1951-05, 161.5, 0.653436863212935
1951-06, 347.4, 2.65605670200096
1951-07, 25.4, -0.812709237158502
1951-08, 156.5, 0.599574038070707
1951-09, 106.7, 0.0631002996541197
1951-10, 45.2, -0.599412449595281
1951-11, 6.1, -1.0206197422075
1951-12, 19, -0.881653653340554
1952-01, 49, -0.558476702487188
1952-02, 54.2, -0.502459364339271
1952-03, 89, -0.127574101349366
1952-04, 237.8, 1.47538357488333
1952-05, 63.6, -0.401197253071883
1952-06, 151.9, 0.550020238939858
1952-07, 218.8, 1.27070483934286
1952-08, 302.2, 2.16913676271522
1952-09, 20.7, -0.863340292792196
1952-10, 187.7, 0.935678066958208
1952-11, 77.1, -0.255767625187868
1952-12, 40.2, -0.653275274737508
1953-01, 69.9, -0.333330093392676
1953-02, 186.9, 0.927060014935451
1953-03, 111.7, 0.116963124796347
1953-04, 16, -0.91397134842589
1953-05, 327.5, 2.44168265793489
1953-06, 32.6, -0.735146768953694
1953-07, 80.9, -0.214831878079775
1953-08, 46.7, -0.583253602052612
1953-09, 29.2, -0.771773490050409
1953-10, 70.1, -0.331175580386987
1953-11, 46.2, -0.588639884566835
1953-12, 7.4, -1.00661540767052
1954-01, 117.1, 0.175134975949953
1954-02, 253.2, 1.64128107632139
1954-03, 26.2, -0.804091185135746
1954-04, 18.5, -0.887039935854776
1954-05, 30.8, -0.754537386004896
1954-06, 9.1, -0.988302047122164
1954-07, 98.8, -0.0220029640706
1954-08, 31.5, -0.746996590484984
1954-09, 55.2, -0.491686799310825
1954-10, 166.3, 0.705145175349474
1954-11, 147.4, 0.501543696311853
1954-12, 73, -0.299935141804495
1955-01, 226.1, 1.34934456405052
1955-02, 260.9, 1.72422982704042
1955-03, 230.4, 1.39566659367283
1955-04, 79.3, -0.232067982125288
1955-05, 329, 2.45784150547756
1955-06, 120.2, 0.208529927538134
1955-07, 38.1, -0.675897661297244
1955-08, 12.4, -0.952752582528294
1955-09, 24.6, -0.821327289181259
1955-10, 44, -0.612339527629415
1955-11, 229.6, 1.38704854165008
1955-12, 221.4, 1.29871350841682
1956-01, 97.7, -0.0338527856018901
1956-02, 563.7, 4.98616251765373
1956-03, 363.2, 2.8262632294504
1956-04, 20.3, -0.867649318803574
1956-05, 145.5, 0.481075822757806
1956-06, 227.7, 1.36658066809603
1956-07, 51, -0.536931572430296
1956-08, 86.6, -0.153428257417636
1956-09, 39.9, -0.656507044246042
1956-10, 62.4, -0.414124331106017
1956-11, 8.6, -0.993688329636387
1956-12, 25.1, -0.815941006667036
1957-01, 51.8, -0.52831352040754
1957-02, 73.4, -0.295626115793116
1957-03, 112.8, 0.128812946327637
1957-04, 21.8, -0.851490471260906
1957-05, 2, -1.06478725882413
1957-06, 33.7, -0.723296947422404
1957-07, 125.2, 0.262392752680362
1957-08, 143.3, 0.457376179695226
1957-09, 14.9, -0.92582116995718
1957-10, 9.6, -0.982915764607942
1957-11, 26.6, -0.799782159124368
1957-12, 50.2, -0.545549624453053
1958-01, 129.2, 0.305483012794144
1958-02, 372, 2.92106180170072
1958-03, 330.7, 2.47615486602592
1958-04, 70.1, -0.331175580386987
1958-05, 14.8, -0.926898426460025
1958-06, 202.4, 1.09403477287636
1958-07, 27.2, -0.7933186201073
1958-08, 93.1, -0.0834065847327396
