"Description: ","Monthly number of days when precipitation >= 10 mm"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, r10mm, normalised (all years)
1936-01, 4, 0.510159981453892
1936-02, 3, 0.0937028537364292
1936-03, 2, -0.322754273981034
1936-04, 1, -0.739211401698497
1936-05, 2, -0.322754273981034
1936-06, 1, -0.739211401698497
1936-07, 1, -0.739211401698497
1936-08, 1, -0.739211401698497
1936-09, 0, -1.15566852941596
1936-10, 1, -0.739211401698497
1936-11, 0, -1.15566852941596
1936-12, 5, 0.926617109171355
1937-01, 1, -0.739211401698497
1937-02, 1, -0.739211401698497
1937-03, 9, 2.59244562004121
1937-04, 4, 0.510159981453892
1937-05, 0, -1.15566852941596
1937-06, 12, 3.84181700319359
1937-07, 3, 0.0937028537364292
1937-08, 2, -0.322754273981034
1937-09, 0, -1.15566852941596
1937-10, 3, 0.0937028537364292
1937-11, 3, 0.0937028537364292
1937-12, 2, -0.322754273981034
1938-01, 5, 0.926617109171355
1938-02, 3, 0.0937028537364292
1938-03, 2, -0.322754273981034
1938-04, 3, 0.0937028537364292
1938-05, 4, 0.510159981453892
1938-06, 0, -1.15566852941596
1938-07, 1, -0.739211401698497
1938-08, 6, 1.34307423688882
1938-09, 2, -0.322754273981034
1938-10, 2, -0.322754273981034
1938-11, 1, -0.739211401698497
1938-12, 0, -1.15566852941596
1939-01, 4, 0.510159981453892
1939-02, 0, -1.15566852941596
1939-03, 8, 2.17598849232374
1939-04, 3, 0.0937028537364292
1939-05, 1, -0.739211401698497
1939-06, 0, -1.15566852941596
1939-07, 0, -1.15566852941596
1939-08, 1, -0.739211401698497
1939-09, 2, -0.322754273981034
1939-10, 1, -0.739211401698497
1939-11, 1, -0.739211401698497
1939-12, 0, -1.15566852941596
1940-01, 0, -1.15566852941596
1940-02, 1, -0.739211401698497
1940-03, 0, -1.15566852941596
1940-04, 7, 1.75953136460628
1940-05, 5, 0.926617109171355
1940-06, 2, -0.322754273981034
1940-07, 3, 0.0937028537364292
1940-08, 2, -0.322754273981034
1940-09, 3, 0.0937028537364292
1940-10, 2, -0.322754273981034
1940-11, 1, -0.739211401698497
1940-12, 4, 0.510159981453892
1941-01, 3, 0.0937028537364292
1941-02, 2, -0.322754273981034
1941-03, 0, -1.15566852941596
1941-04, 2, -0.322754273981034
1941-05, 1, -0.739211401698497
1941-06, 1, -0.739211401698497
1941-07, 2, -0.322754273981034
1941-08, 3, 0.0937028537364292
1941-09, 1, -0.739211401698497
1941-10, 1, -0.739211401698497
1941-11, 0, -1.15566852941596
1941-12, 1, -0.739211401698497
1942-01, 0, -1.15566852941596
1942-02, 1, -0.739211401698497
1942-03, 9, 2.59244562004121
1942-04, 0, -1.15566852941596
1942-05, 2, -0.322754273981034
1942-06, 4, 0.510159981453892
1942-07, 2, -0.322754273981034
1942-08, 0, -1.15566852941596
1942-09, 1, -0.739211401698497
1942-10, 3, 0.0937028537364292
1942-11, 6, 1.34307423688882
1942-12, 3, 0.0937028537364292
1943-01, 3, 0.0937028537364292
1943-02, 0, -1.15566852941596
1943-03, 1, -0.739211401698497
1943-04, 2, -0.322754273981034
1943-05, 12, 3.84181700319359
1943-06, 0, -1.15566852941596
1943-07, 0, -1.15566852941596
1943-08, 4, 0.510159981453892
1943-09, 4, 0.510159981453892
1943-10, 1, -0.739211401698497
1943-11, 6, 1.34307423688882
1943-12, 2, -0.322754273981034
1944-01, 2, -0.322754273981034
1944-02, 2, -0.322754273981034
1944-03, 2, -0.322754273981034
1944-04, 3, 0.0937028537364292
1944-05, 3, 0.0937028537364292
1944-06, 2, -0.322754273981034
1944-07, 3, 0.0937028537364292
1944-08, 3, 0.0937028537364292
1944-09, 0, -1.15566852941596
1944-10, 1, -0.739211401698497
1944-11, 1, -0.739211401698497
1944-12, 1, -0.739211401698497
1945-01, 3, 0.0937028537364292
1945-02, 2, -0.322754273981034
1945-03, 1, -0.739211401698497
1945-04, 6, 1.34307423688882
1945-05, 6, 1.34307423688882
1945-06, 4, 0.510159981453892
1945-07, 3, 0.0937028537364292
1945-08, 2, -0.322754273981034
1945-09, 0, -1.15566852941596
1945-10, 1, -0.739211401698497
1945-11, 1, -0.739211401698497
1945-12, 2, -0.322754273981034
1946-01, 0, -1.15566852941596
1946-02, 3, 0.0937028537364292
1946-03, 2, -0.322754273981034
1946-04, 7, 1.75953136460628
1946-05, 1, -0.739211401698497
1946-06, 2, -0.322754273981034
1946-07, 0, -1.15566852941596
1946-08, 0, -1.15566852941596
1946-09, 0, -1.15566852941596
1946-10, 1, -0.739211401698497
1946-11, 2, -0.322754273981034
1946-12, 1, -0.739211401698497
1947-01, 1, -0.739211401698497
1947-02, 3, 0.0937028537364292
1947-03, 2, -0.322754273981034
1947-04, 4, 0.510159981453892
1947-05, 4, 0.510159981453892
1947-06, 2, -0.322754273981034
1947-07, 0, -1.15566852941596
1947-08, 0, -1.15566852941596
1947-09, 0, -1.15566852941596
1947-10, 1, -0.739211401698497
1947-11, 3, 0.0937028537364292
1947-12, 11, 3.42535987547613
1948-01, 6, 1.34307423688882
1948-02, 2, -0.322754273981034
1948-03, 3, 0.0937028537364292
1948-04, 1, -0.739211401698497
1948-05, 3, 0.0937028537364292
1948-06, 7, 1.75953136460628
1948-07, 1, -0.739211401698497
1948-08, 0, -1.15566852941596
1948-09, 3, 0.0937028537364292
1948-10, 0, -1.15566852941596
1948-11, 0, -1.15566852941596
1948-12, 3, 0.0937028537364292
1949-01, 6, 1.34307423688882
1949-02, 5, 0.926617109171355
1949-03, 2, -0.322754273981034
1949-04, 0, -1.15566852941596
1949-05, 2, -0.322754273981034
1949-06, 8, 2.17598849232374
1949-07, 2, -0.322754273981034
1949-08, 4, 0.510159981453892
1949-09, 7, 1.75953136460628
1949-10, 1, -0.739211401698497
1949-11, 3, 0.0937028537364292
1949-12, 1, -0.739211401698497
1950-01, 2, -0.322754273981034
1950-02, 4, 0.510159981453892
1950-03, 5, 0.926617109171355
1950-04, 3, 0.0937028537364292
1950-05, 4, 0.510159981453892
1950-06, 15, 5.09118838634598
1950-07, 8, 2.17598849232374
1950-08, 4, 0.510159981453892
1950-09, 3, 0.0937028537364292
1950-10, 3, 0.0937028537364292
1950-11, 4, 0.510159981453892
1950-12, 1, -0.739211401698497
1951-01, 7, 1.75953136460628
1951-02, 1, -0.739211401698497
1951-03, 6, 1.34307423688882
1951-04, 2, -0.322754273981034
1951-05, 6, 1.34307423688882
1951-06, 11, 3.42535987547613
1951-07, 0, -1.15566852941596
1951-08, 2, -0.322754273981034
1951-09, 2, -0.322754273981034
1951-10, 1, -0.739211401698497
1951-11, 0, -1.15566852941596
1951-12, 1, -0.739211401698497
1952-01, 2, -0.322754273981034
1952-02, 2, -0.322754273981034
1952-03, 1, -0.739211401698497
1952-04, 8, 2.17598849232374
1952-05, 1, -0.739211401698497
1952-06, 3, 0.0937028537364292
1952-07, 3, 0.0937028537364292
1952-08, 8, 2.17598849232374
1952-09, 0, -1.15566852941596
1952-10, 6, 1.34307423688882
1952-11, 4, 0.510159981453892
1952-12, 1, -0.739211401698497
1953-01, 3, 0.0937028537364292
1953-02, 7, 1.75953136460628
1953-03, 3, 0.0937028537364292
1953-04, 1, -0.739211401698497
1953-05, 5, 0.926617109171355
1953-06, 1, -0.739211401698497
