"Description: ","Number of days when precipitation >= 30"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, r30mm, normalised (all years)
1936-01, 0, -0.686907625703835
1936-02, 1, 0.152063520193979
1936-03, 2, 0.991034666091793
1936-04, 0, -0.686907625703835
1936-05, 0, -0.686907625703835
1936-06, 1, 0.152063520193979
1936-07, 0, -0.686907625703835
1936-08, 0, -0.686907625703835
1936-09, 0, -0.686907625703835
1936-10, 0, -0.686907625703835
1936-11, 0, -0.686907625703835
1936-12, 0, -0.686907625703835
1937-01, 0, -0.686907625703835
1937-02, 0, -0.686907625703835
1937-03, 2, 0.991034666091793
1937-04, 2, 0.991034666091793
1937-05, 0, -0.686907625703835
1937-06, 4, 2.66897695788742
1937-07, 1, 0.152063520193979
1937-08, 1, 0.152063520193979
1937-09, 0, -0.686907625703835
1937-10, 0, -0.686907625703835
1937-11, 0, -0.686907625703835
1937-12, 0, -0.686907625703835
1938-01, 1, 0.152063520193979
1938-02, 1, 0.152063520193979
1938-03, 0, -0.686907625703835
1938-04, 0, -0.686907625703835
1938-05, 0, -0.686907625703835
1938-06, 0, -0.686907625703835
1938-07, 1, 0.152063520193979
1938-08, 4, 2.66897695788742
1938-09, 0, -0.686907625703835
1938-10, 1, 0.152063520193979
1938-11, 0, -0.686907625703835
1938-12, 0, -0.686907625703835
1939-01, 0, -0.686907625703835
1939-02, 0, -0.686907625703835
1939-03, 3, 1.83000581198961
1939-04, 1, 0.152063520193979
1939-05, 0, -0.686907625703835
1939-06, 0, -0.686907625703835
1939-07, 0, -0.686907625703835
1939-08, 1, 0.152063520193979
1939-09, 0, -0.686907625703835
1939-10, 0, -0.686907625703835
1939-11, 0, -0.686907625703835
1939-12, 0, -0.686907625703835
1940-01, 0, -0.686907625703835
1940-02, 0, -0.686907625703835
1940-03, 0, -0.686907625703835
1940-04, 1, 0.152063520193979
1940-05, 2, 0.991034666091793
1940-06, 0, -0.686907625703835
1940-07, 3, 1.83000581198961
1940-08, 0, -0.686907625703835
1940-09, 1, 0.152063520193979
1940-10, 0, -0.686907625703835
1940-11, 0, -0.686907625703835
1940-12, 3, 1.83000581198961
1941-01, 1, 0.152063520193979
1941-02, 0, -0.686907625703835
1941-03, 0, -0.686907625703835
1941-04, 1, 0.152063520193979
1941-05, 0, -0.686907625703835
1941-06, 0, -0.686907625703835
1941-07, 1, 0.152063520193979
1941-08, 0, -0.686907625703835
1941-09, 1, 0.152063520193979
1941-10, 0, -0.686907625703835
1941-11, 0, -0.686907625703835
1941-12, 0, -0.686907625703835
1942-01, 0, -0.686907625703835
1942-02, 0, -0.686907625703835
