"Description: ","Maximum monthly 1-day precipitation total"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, rx1day, normalised (all years)
1936-01, 23.9, -0.378342802326726
1936-02, 54.9, 0.490994416997489
1936-03, 36.1, -0.0362165418184866
1936-04, 17.3, -0.563427500634462
1936-05, 24.1, -0.37273417510528
1936-06, 45, 0.213367369535885
1936-07, 11.9, -0.714860435613519
1936-08, 11.9, -0.714860435613519
1936-09, 6.9, -0.855076116149683
1936-10, 20.6, -0.470885151480594
1936-11, 3.3, -0.956031406135721
1936-12, 23.1, -0.400777311212512
1937-01, 21.1, -0.456863583426978
1937-02, 10.2, -0.762533766995815
1937-03, 86.1, 1.36594026354315
1937-04, 45, 0.213367369535885
1937-05, 6.4, -0.869097684203299
1937-06, 71.9, 0.967727730820446
1937-07, 30.2, -0.20167104485116
1937-08, 39.1, 0.0479128665032117
1937-09, 6.9, -0.855076116149683
1937-10, 25.4, -0.336278098165877
1937-11, 29.7, -0.215692612904776
1937-12, 24.6, -0.358712607051663
1938-01, 147.1, 3.07657156608435
1938-02, 37.1, -0.00817340571125382
1938-03, 11.7, -0.720469062834966
1938-04, 18, -0.543797305359399
1938-05, 22.1, -0.428820447319745
1938-06, 4.6, -0.919575329196318
1938-07, 50.5, 0.367604618125665
1938-08, 43.2, 0.162889724542866
1938-09, 14.5, -0.641948281734714
1938-10, 33.8, -0.100715754865122
1938-11, 15.2, -0.622318086459651
1938-12, 5.8, -0.885923565867639
1939-01, 19.6, -0.498928287587827
1939-02, 2, -0.992487483075123
1939-03, 58.2, 0.583536766151357
1939-04, 36.6, -0.0221949737648702
1939-05, 25.7, -0.327865157333707
1939-06, 9.7, -0.776555335049431
1939-07, 9.9, -0.770946707827985
1939-08, 58.4, 0.589145393372804
1939-09, 29.2, -0.229714180958393
1939-10, 26.7, -0.299822021226474
1939-11, 19.8, -0.49331966036638
1939-12, 4.8, -0.913966701974872
1940-01, 6.1, -0.877510625035469
1940-02, 11.7, -0.720469062834966
1940-03, 8.1, -0.821424352821004
1940-04, 43.9, 0.182519919817929
1940-05, 45.5, 0.227388937589501
1940-06, 20.6, -0.470885151480594
1940-07, 54.6, 0.482581476165319
1940-08, 20.3, -0.479298092312764
1940-09, 38.4, 0.0282826712281487
1940-10, 22.1, -0.428820447319745
1940-11, 13.5, -0.669991417841947
1940-12, 84.6, 1.3238755593823
1941-01, 34.8, -0.0726726187578893
1941-02, 16.8, -0.577449068688079
1941-03, 8.4, -0.813011411988834
1941-04, 32.5, -0.137171831804525
1941-05, 11.2, -0.734490630888582
1941-06, 10.7, -0.748512198942199
1941-07, 39.1, 0.0479128665032117
1941-08, 17.3, -0.563427500634462
1941-09, 33.3, -0.114737322918738
1941-10, 28.4, -0.252148689844179
1941-11, 8.9, -0.798989843935218
1941-12, 14.5, -0.641948281734714
1942-01, 9.9, -0.770946707827985
1942-02, 14.7, -0.636339654513268
1942-03, 280.7, 6.82313455001064
1942-04, 3.3, -0.956031406135721
1942-05, 13.7, -0.6643827906205
1942-06, 36.3, -0.0306079145970401
1942-07, 21.1, -0.456863583426978
1942-08, 8.9, -0.798989843935218
1942-09, 13, -0.684012985895563
1942-10, 64.5, 0.760208523626924
1942-11, 25.4, -0.336278098165877
1942-12, 35.3, -0.0586510507042729
1943-01, 25.7, -0.327865157333707
1943-02, 8.1, -0.821424352821004
