"Description: ","Maximum 3-day precipitation total"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, rx3day, normalised (all years)
1936-01, 41, -0.302916488373586
1936-02, 72.7, 0.25423527942944
1936-03, 53.9, -0.0761891128322917
1936-04, 20.1, -0.670249988281576
1936-05, 35.5, -0.399583198875689
1936-06, 45.5, -0.223825543417321
1936-07, 14.2, -0.773947005002013
1936-08, 23.3, -0.614007538534898
1936-09, 18, -0.707159095927833
1936-10, 20.6, -0.661462105508657
1936-11, 6.30000000000001, -0.912795552814123
1936-12, 60.7, 0.0433260928793987
1937-01, 21.6, -0.64388633996282
1937-02, 20.9, -0.656189375844906
1937-03, 116.6, 1.02581138689168
1937-04, 66.6, 0.147023109599836
1937-05, 9.40000000000001, -0.858310679622029
1937-06, 139.7, 1.43181157100051
1937-07, 55.6, -0.0463103114043691
1937-08, 45.5, -0.223825543417321
1937-09, 11.7, -0.817886418866605
1937-10, 31, -0.478674143831955
1937-11, 60.6, 0.041568516324815
1937-12, 29.6, -0.503280215596126
1938-01, 174.8, 2.04872094165938
1938-02, 211.9, 2.70078184340992
1938-03, 13.4, -0.788007617438682
1938-04, 26.2, -0.563037818451971
1938-05, 50.1, -0.142977021906471
1938-06, 5.20000000000002, -0.932128894914544
1938-07, 54, -0.074431536277708
1938-08, 122.5, 1.12950840361211
1938-09, 17.1, -0.722977284919086
1938-10, 52.3, -0.104310337705631
1938-11, 17, -0.72473486147367
1938-12, 5.90000000000002, -0.919825859032458
1939-01, 33.1, -0.441765036185697
1939-02, 2.50000000000002, -0.979583461888303
1939-03, 120.4, 1.09259929596586
1939-04, 48.8, -0.165825517116059
1939-05, 35.4, -0.401340775430273
1939-06, 10.7, -0.835462184412442
1939-07, 15.8, -0.745825780128674
1939-08, 58.4, 0.00290183212397396
1939-09, 65.2, 0.122417037835664
1939-10, 30, -0.496249909377791
1939-11, 24.4, -0.594674196434477
1939-12, 5.80000000000001, -0.921583435587042
1940-01, 6.10000000000001, -0.916310705923291
1940-02, 14.7, -0.765159122229094
1940-03, 8.40000000000001, -0.875886445167866
1940-04, 66.2, 0.139992803381501
1940-05, 76.5, 0.32102318850362
1940-06, 31.8, -0.464613531395285
1940-07, 117.9, 1.04865988210126
1940-08, 26.9, -0.550734782569885
1940-09, 70.2, 0.210295865564848
1940-10, 82.1, 0.419447475560306
1940-11, 52.8, -0.0955224549327122
1940-12, 131.8, 1.2929630231884
1941-01, 40.6, -0.309946794591921
1941-02, 26.7, -0.554249935679053
1941-03, 16, -0.742310627019507
1941-04, 42.7, -0.273037686945664
1941-05, 19.3, -0.684310600718245
1941-06, 20.1, -0.670249988281576
1941-07, 44.2, -0.246674038626909
1941-08, 27.4, -0.541946899796967
1941-09, 36.6, -0.380249856775268
1941-10, 32.5, -0.452310495513199
1941-11, 14.5, -0.768674275338262
1941-12, 18.3, -0.701886366264082
1942-01, 9.90000000000003, -0.84952279684911
1942-02, 16.7, -0.730007591137421
1942-03, 346, 5.05769200310664
1942-04, 8.9, -0.867098562394948
1942-05, 23.3, -0.614007538534898
1942-06, 90.7, 0.570599059254503
1942-07, 28.2, -0.527886287360298
1942-08, 14, -0.77746215811118
1942-09, 18.3, -0.701886366264082
1942-10, 127.2, 1.21211450167755
1942-11, 43.2, -0.264249804172745
1942-12, 35.3, -0.403098351984856
1943-01, 39.8, -0.324007407028591
1943-02, 8.09999999999999, -0.881159174831617
1943-03, 26.9, -0.550734782569885
1943-04, 38.5, -0.346855902238178
1943-05, 114, 0.9801143964725
1943-06, 8.59999999999999, -0.872371292058699
1943-07, 5.89999999999999, -0.919825859032459
1943-08, 94, 0.628599085555764
1943-09, 163.8, 1.85538752065517
1943-10, 56.9, -0.0234618161947813
1943-11, 63.6, 0.0942958129623254
1943-12, 28.7, -0.519098404587379
1944-01, 32, -0.461098378286118
1944-02, 74.2, 0.280598927748196
1944-03, 51, -0.127158832915218
1944-04, 46.8, -0.200977048207733
1944-05, 44, -0.250189191736076
1944-06, 55.1, -0.0550981941772875
1944-07, 51.8, -0.113098220478549
1944-08, 76.3, 0.317508035394453
1944-09, 14.7, -0.765159122229094
1944-10, 17.8, -0.710674249037
1944-11, 15.8, -0.745825780128674
1944-12, 10.4, -0.840734914076193
1945-01, 28.7, -0.519098404587379
1945-02, 29.4, -0.506795368705293
1945-03, 21.6, -0.64388633996282
1945-04, 184.9, 2.22623617367233
1945-05, 132.3, 1.30175090596131
1945-06, 134.4, 1.33866001360757
1945-07, 32.8, -0.447037765849448
1945-08, 25.6, -0.573583277779473
1945-09, 28.7, -0.519098404587379
1945-10, 31.7, -0.466371107949869
1945-11, 27.1, -0.547219629460718
1945-12, 30, -0.496249909377791
1946-01, 15.4, -0.752856086347009
1946-02, 47.7, -0.18515885921648
1946-03, 80.7, 0.394841403796135
1946-04, 196.1, 2.4230847477857
1946-05, 52.9, -0.0937648783781285
1946-06, 105.7, 0.834235542442055
1946-07, 4.6, -0.942674354242046
1946-08, 2.5, -0.979583461888303
1946-09, 12.9, -0.796795500211601
1946-10, 48.8, -0.165825517116059
1946-11, 55.1, -0.0550981941772875
1946-12, 10.9, -0.831947031303274
1947-01, 11.9, -0.814371265757437
1947-02, 75.4, 0.3016898464032
1947-03, 31.8, -0.464613531395285
1947-04, 108.2, 0.878174956306647
1947-05, 57.6, -0.0111587803126954
1947-06, 55.3, -0.0515830410681202
1947-07, 7.1, -0.898734940377454
1947-08, 17, -0.72473486147367
1947-09, 8.40000000000001, -0.875886445167866
1947-10, 39.4, -0.331037713246925
1947-11, 39.6, -0.327522560137758
1947-12, 54.3, -0.069158806613957
1948-01, 91.7, 0.58817482480034
1948-02, 31.5, -0.469886261059036
1948-03, 48.7, -0.167583093670643
1948-04, 17, -0.72473486147367
1948-05, 126.4, 1.19805388924088
1948-06, 85.8, 0.484477808079902
1948-07, 12.5, -0.803825806429935
1948-08, 3.79999999999999, -0.956734966678716
1948-09, 40.6, -0.309946794591921
1948-10, 7.39999999999999, -0.893462210713703
1948-11, 8.09999999999999, -0.881159174831617
1948-12, 69.8, 0.203265559346514
1949-01, 214.7, 2.74999398693827
1949-02, 101, 0.751629444376622
1949-03, 46.5, -0.206249777871484
1949-04, 12.5, -0.803825806429935
1949-05, 71.7, 0.236659513883604
1949-06, 167.2, 1.91514512351102
1949-07, 47.8, -0.183401282661896
1949-08, 79.5, 0.373750485141131
1949-09, 136.2, 1.37029639159008
1949-10, 19.8, -0.675522717945327
1949-11, 40.7, -0.308189218037337
1949-12, 30.2, -0.492734756268624
1950-01, 118.6, 1.06096291798335
1950-02, 123.1, 1.14005386293962
1950-03, 33.5, -0.434734729967363
1950-04, 61.5, 0.0573867053160681
1950-05, 104.4, 0.811387047232467
1950-06, 257.4, 3.5004791757455
1950-07, 138.7, 1.41423580545467
1950-08, 30.5, -0.487462026604873
1950-09, 61.7, 0.0609018584252355
1950-10, 57.7, -0.00940120375811173
1950-11, 29.2, -0.510310521814461
1950-12, 11.4, -0.823159148530356
1951-01, 132.3, 1.30175090596131
1951-02, 37.6, -0.362674091229432
1951-03, 36.1, -0.389037739548187
