"Description: ","Monthly number of days when TX > 25 °C"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, su, normalised (all years)
1936-01, 13, 0.692108856142503
1936-02, 9, 0.163027634109294
1936-03, 13, 0.692108856142503
1936-04, 2, -0.762864504448821
1936-05, 3, -0.630594198940519
1936-06, 0, -1.02740511546543
1936-07, 0, -1.02740511546543
1936-08, 2, -0.762864504448821
1936-09, 4, -0.498323893432217
1936-10, 9, 0.163027634109294
1936-11, 11, 0.427568245125899
1936-12, 14, 0.824379161650805
1937-01, 20, 1.61800099470062
1937-02, 13, 0.692108856142503
1937-03, 15, 0.956649467159108
1937-04, 1, -0.895134809957124
1937-05, 3, -0.630594198940519
1937-06, 0, -1.02740511546543
1937-07, 0, -1.02740511546543
1937-08, 0, -1.02740511546543
1937-09, 5, -0.366053587923915
1937-10, 3, -0.630594198940519
1937-11, 3, -0.630594198940519
1937-12, 17, 1.22119007817571
1938-01, 20, 1.61800099470062
1938-02, 20, 1.61800099470062
1938-03, 21, 1.75027130020892
1938-04, 7, -0.10151297690731
1938-05, 0, -1.02740511546543
1938-06, 0, -1.02740511546543
1938-07, 0, -1.02740511546543
1938-08, 0, -1.02740511546543
1938-09, 3, -0.630594198940519
1938-10, 6, -0.233783282415612
1938-11, 9, 0.163027634109294
1938-12, 15, 0.956649467159108
1939-01, 18, 1.35346038368401
1939-02, 23, 2.01481191122553
1939-03, 11, 0.427568245125899
1939-04, 1, -0.895134809957124
1939-05, 1, -0.895134809957124
1939-06, 0, -1.02740511546543
1939-07, 0, -1.02740511546543
1939-08, 1, -0.895134809957124
1939-09, 3, -0.630594198940519
1939-10, 3, -0.630594198940519
1939-11, 7, -0.10151297690731
1939-12, 16, 1.08891977266741
1940-01, 20, 1.61800099470062
1940-02, 15, 0.956649467159108
1940-03, 22, 1.88254160571722
1940-04, 3, -0.630594198940519
1940-05, 0, -1.02740511546543
1940-06, 1, -0.895134809957124
1940-07, 0, -1.02740511546543
1940-08, 3, -0.630594198940519
1940-09, 6, -0.233783282415612
1940-10, 8, 0.0307573286009921
1940-11, 6, -0.233783282415612
1940-12, 16, 1.08891977266741
1941-01, 13, 0.692108856142503
1941-02, 12, 0.559838550634201
1941-03, 8, 0.0307573286009921
