"Description: ","Monthly number of days when TM >= 10 °C"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, tmge10, normalised (all years)
1936-01, 29, -1.11400924544199
1936-02, 29, -1.11400924544199
1936-03, 31, 0.760262449959536
1936-04, 30, -0.176873397741228
1936-05, 31, 0.760262449959536
1936-06, 29, -1.11400924544199
1936-07, 31, 0.760262449959536
1936-08, 31, 0.760262449959536
1936-09, 30, -0.176873397741228
1936-10, 31, 0.760262449959536
1936-11, 30, -0.176873397741228
1936-12, 31, 0.760262449959536
1937-01, 31, 0.760262449959536
1937-02, 28, -2.05114509314275
1937-03, 31, 0.760262449959536
1937-04, 30, -0.176873397741228
1937-05, 31, 0.760262449959536
1937-06, 30, -0.176873397741228
1937-07, 30, -0.176873397741228
1937-08, 31, 0.760262449959536
1937-09, 29, -1.11400924544199
1937-10, 31, 0.760262449959536
1937-11, 30, -0.176873397741228
1937-12, 31, 0.760262449959536
1938-01, 31, 0.760262449959536
1938-02, 28, -2.05114509314275
1938-03, 31, 0.760262449959536
1938-04, 30, -0.176873397741228
1938-05, 31, 0.760262449959536
1938-06, 29, -1.11400924544199
1938-07, 27, -2.98828094084352
1938-08, 26, -3.92541678854428
1938-09, 30, -0.176873397741228
1938-10, 31, 0.760262449959536
1938-11, 30, -0.176873397741228
1938-12, 31, 0.760262449959536
1939-01, 30, -0.176873397741228
1939-02, 28, -2.05114509314275
1939-03, 31, 0.760262449959536
1939-04, 30, -0.176873397741228
1939-05, 31, 0.760262449959536
1939-06, 30, -0.176873397741228
1939-07, 25, -4.86255263624505
1939-08, 30, -0.176873397741228
1939-09, 29, -1.11400924544199
1939-10, 31, 0.760262449959536
1939-11, 30, -0.176873397741228
1939-12, 31, 0.760262449959536
1940-01, 31, 0.760262449959536
1940-02, 29, -1.11400924544199
1940-03, 31, 0.760262449959536
1940-04, 30, -0.176873397741228
1940-05, 31, 0.760262449959536
1940-06, 30, -0.176873397741228
1940-07, 30, -0.176873397741228
1940-08, 31, 0.760262449959536
1940-09, 29, -1.11400924544199
1940-10, 31, 0.760262449959536
1940-11, 30, -0.176873397741228
1940-12, 31, 0.760262449959536
1941-01, 31, 0.760262449959536
1941-02, 28, -2.05114509314275
1941-03, 31, 0.760262449959536
1941-04, 30, -0.176873397741228
1941-05, 31, 0.760262449959536
1941-06, 30, -0.176873397741228
1941-07, 30, -0.176873397741228
1941-08, 30, -0.176873397741228
1941-09, 30, -0.176873397741228
1941-10, 31, 0.760262449959536
1941-11, 30, -0.176873397741228
1941-12, 31, 0.760262449959536
1942-01, 31, 0.760262449959536
1942-02, 28, -2.05114509314275
1942-03, 31, 0.760262449959536
1942-04, 30, -0.176873397741228
1942-05, 31, 0.760262449959536
1942-06, 29, -1.11400924544199
1942-07, 28, -2.05114509314275
1942-08, 31, 0.760262449959536
1942-09, 30, -0.176873397741228
1942-10, 31, 0.760262449959536
1942-11, 30, -0.176873397741228
1942-12, 31, 0.760262449959536
1943-01, 31, 0.760262449959536
1943-02, 28, -2.05114509314275
1943-03, 31, 0.760262449959536
1943-04, 30, -0.176873397741228
1943-05, 31, 0.760262449959536
1943-06, 25, -4.86255263624505
1943-07, 23, -6.73682433164657
1943-08, 29, -1.11400924544199
1943-09, 30, -0.176873397741228
1943-10, 31, 0.760262449959536
1943-11, 30, -0.176873397741228
1943-12, 31, 0.760262449959536
1944-01, 31, 0.760262449959536
1944-02, 29, -1.11400924544199
1944-03, 31, 0.760262449959536
1944-04, 30, -0.176873397741228
1944-05, 31, 0.760262449959536
1944-06, 28, -2.05114509314275
1944-07, 27, -2.98828094084352
1944-08, 29, -1.11400924544199
1944-09, 29, -1.11400924544199
1944-10, 31, 0.760262449959536
1944-11, 30, -0.176873397741228
1944-12, 31, 0.760262449959536
1945-01, 31, 0.760262449959536
1945-02, 28, -2.05114509314275
1945-03, 31, 0.760262449959536
1945-04, 30, -0.176873397741228
1945-05, 31, 0.760262449959536
1945-06, 30, -0.176873397741228
1945-07, 25, -4.86255263624505
1945-08, 31, 0.760262449959536
1945-09, 30, -0.176873397741228
1945-10, 31, 0.760262449959536
1945-11, 30, -0.176873397741228
1945-12, 31, 0.760262449959536
1946-01, 31, 0.760262449959536
1946-02, 28, -2.05114509314275
1946-03, 31, 0.760262449959536
1946-04, 30, -0.176873397741228
1946-05, 31, 0.760262449959536
1946-06, 28, -2.05114509314275
1946-07, 31, 0.760262449959536
1946-08, 31, 0.760262449959536
1946-09, 30, -0.176873397741228
1946-10, 31, 0.760262449959536
1946-11, 30, -0.176873397741228
1946-12, 31, 0.760262449959536
1947-01, 31, 0.760262449959536
1947-02, 28, -2.05114509314275
1947-03, 31, 0.760262449959536
1947-04, 30, -0.176873397741228
1947-05, 31, 0.760262449959536
1947-06, 29, -1.11400924544199
1947-07, 29, -1.11400924544199
1947-08, 28, -2.05114509314275
1947-09, 30, -0.176873397741228
1947-10, 31, 0.760262449959536
1947-11, 30, -0.176873397741228
1947-12, 31, 0.760262449959536
1948-01, 31, 0.760262449959536
1948-02, 29, -1.11400924544199
1948-03, 31, 0.760262449959536
1948-04, 30, -0.176873397741228
1948-05, 31, 0.760262449959536
1948-06, 29, -1.11400924544199
1948-07, 28, -2.05114509314275
1948-08, 31, 0.760262449959536
1948-09, 30, -0.176873397741228
1948-10, 31, 0.760262449959536
1948-11, 28, -2.05114509314275
1948-12, 31, 0.760262449959536
1949-01, 31, 0.760262449959536
1949-02, 28, -2.05114509314275
1949-03, 31, 0.760262449959536
1949-04, 30, -0.176873397741228
1949-05, 31, 0.760262449959536
1949-06, 26, -3.92541678854428
1949-07, 29, -1.11400924544199
1949-08, 31, 0.760262449959536
1949-09, 30, -0.176873397741228
1949-10, 31, 0.760262449959536
1949-11, 29, -1.11400924544199
1949-12, 31, 0.760262449959536
1950-01, 31, 0.760262449959536
1950-02, 28, -2.05114509314275
1950-03, 31, 0.760262449959536
1950-04, 30, -0.176873397741228
1950-05, 31, 0.760262449959536
1950-06, 30, -0.176873397741228
1950-07, 31, 0.760262449959536
1950-08, 30, -0.176873397741228
1950-09, 30, -0.176873397741228
1950-10, 31, 0.760262449959536
1950-11, 30, -0.176873397741228
1950-12, 31, 0.760262449959536
1951-01, 31, 0.760262449959536
1951-02, 28, -2.05114509314275
1951-03, 31, 0.760262449959536
1951-04, 30, -0.176873397741228
1951-05, 31, 0.760262449959536
1951-06, 30, -0.176873397741228
1951-07, 29, -1.11400924544199
1951-08, 31, 0.760262449959536
1951-09, 30, -0.176873397741228
1951-10, 31, 0.760262449959536
1951-11, 30, -0.176873397741228
1951-12, 31, 0.760262449959536
1952-01, 31, 0.760262449959536
1952-02, 29, -1.11400924544199
1952-03, 31, 0.760262449959536
1952-04, 30, -0.176873397741228
1952-05, 31, 0.760262449959536
1952-06, 29, -1.11400924544199
1952-07, 30, -0.176873397741228
1952-08, 30, -0.176873397741228
1952-09, 30, -0.176873397741228
1952-10, 31, 0.760262449959536
1952-11, 30, -0.176873397741228
1952-12, 31, 0.760262449959536
1953-01, 31, 0.760262449959536
1953-02, 28, -2.05114509314275
1953-03, 31, 0.760262449959536
1953-04, 30, -0.176873397741228
1953-05, 31, 0.760262449959536
1953-06, 30, -0.176873397741228
1953-07, 30, -0.176873397741228
1953-08, 30, -0.176873397741228
1953-09, 30, -0.176873397741228
1953-10, 31, 0.760262449959536
1953-11, 30, -0.176873397741228
1953-12, 31, 0.760262449959536
1954-01, 31, 0.760262449959536
1954-02, 28, -2.05114509314275
1954-03, 31, 0.760262449959536
1954-04, 30, -0.176873397741228
1954-05, 31, 0.760262449959536
1954-06, 29, -1.11400924544199
1954-07, 30, -0.176873397741228
1954-08, 31, 0.760262449959536
1954-09, 30, -0.176873397741228
1954-10, 31, 0.760262449959536
1954-11, 30, -0.176873397741228
1954-12, 31, 0.760262449959536
1955-01, 31, 0.760262449959536
1955-02, 28, -2.05114509314275
1955-03, 31, 0.760262449959536
1955-04, 30, -0.176873397741228
1955-05, 31, 0.760262449959536
1955-06, 28, -2.05114509314275
1955-07, 31, 0.760262449959536
1955-08, 31, 0.760262449959536
1955-09, 30, -0.176873397741228
1955-10, 31, 0.760262449959536
1955-11, 30, -0.176873397741228
1955-12, 31, 0.760262449959536
1956-01, 31, 0.760262449959536
1956-02, 29, -1.11400924544199
1956-03, 31, 0.760262449959536
1956-04, 30, -0.176873397741228
1956-05, 31, 0.760262449959536
1956-06, 30, -0.176873397741228
1956-07, 26, -3.92541678854428
1956-08, 31, 0.760262449959536
1956-09, 30, -0.176873397741228
1956-10, 31, 0.760262449959536
1956-11, 30, -0.176873397741228
1956-12, 31, 0.760262449959536
1957-01, 31, 0.760262449959536
1957-02, 28, -2.05114509314275
1957-03, 31, 0.760262449959536
1957-04, 30, -0.176873397741228
1957-05, 31, 0.760262449959536
1957-06, 30, -0.176873397741228
1957-07, 28, -2.05114509314275
1957-08, 31, 0.760262449959536
1957-09, 30, -0.176873397741228
1957-10, 31, 0.760262449959536
1957-11, 30, -0.176873397741228
1957-12, 31, 0.760262449959536
1958-01, 31, 0.760262449959536
1958-02, 28, -2.05114509314275
1958-03, 31, 0.760262449959536
1958-04, 30, -0.176873397741228
1958-05, 31, 0.760262449959536
1958-06, 28, -2.05114509314275
1958-07, 27, -2.98828094084352
1958-08, 29, -1.11400924544199
1958-09, 30, -0.176873397741228
1958-10, 31, 0.760262449959536
1958-11, 30, -0.176873397741228
1958-12, 31, 0.760262449959536
1959-01, 31, 0.760262449959536
1959-02, 28, -2.05114509314275
1959-03, 31, 0.760262449959536
1959-04, 30, -0.176873397741228
1959-05, 31, 0.760262449959536
1959-06, 29, -1.11400924544199
1959-07, 31, 0.760262449959536
1959-08, 31, 0.760262449959536
1959-09, 30, -0.176873397741228
1959-10, 31, 0.760262449959536
1959-11, 30, -0.176873397741228
1959-12, 31, 0.760262449959536
1960-01, 31, 0.760262449959536
1960-02, 29, -1.11400924544199
1960-03, 31, 0.760262449959536
1960-04, 30, -0.176873397741228
1960-05, 31, 0.760262449959536
1960-06, 28, -2.05114509314275
1960-07, 31, 0.760262449959536
