"Description: ","Heatwave definitions and aspects"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, HWM, HWA, HWN, HWD, HWF
1936, -99.9, -99.9, 0, -99.9, 0
1937, -99.9, -99.9, 0, -99.9, 0
1938, 17.1333333333333, 17.8, 1, 3, 3
1939, -99.9, -99.9, 0, -99.9, 0
1940, -99.9, -99.9, 0, -99.9, 0
1941, 13.2333333333333, 15.1, 1, 3, 3
1942, 14.5166666666667, 16.5, 2, 3, 6
1943, -99.9, -99.9, 0, -99.9, 0
1944, -99.9, -99.9, 0, -99.9, 0
1945, 14.2166666666667, 15.3, 2, 4, 7
1946, 20.5333333333333, 21.9, 1, 3, 3
1947, -99.9, -99.9, 0, -99.9, 0
1948, 17.3, 17.5, 1, 3, 3
1949, 13.32, 15.1, 1, 5, 5
1950, 13.775, 16.2, 4, 10, 24
1951, 14.35, 15.5, 1, 6, 6
1952, 12.9833333333333, 14.3, 2, 6, 9
1953, -99.9, -99.9, 0, -99.9, 0
1954, 13.8375, 16.7, 2, 5, 9
1955, -99.9, -99.9, 0, -99.9, 0
1956, -99.9, -99.9, 0, -99.9, 0
1957, 13.2428571428571, 14.7, 1, 7, 7
1958, 13.925, 16.1, 4, 3, 12
1959, 12.0333333333333, 12.3, 1, 3, 3
1960, 14.6, 16.1, 1, 4, 4
1961, -99.9, -99.9, 0, -99.9, 0
1962, -99.9, -99.9, 0, -99.9, 0
1963, 16.9142857142857, 18.2, 1, 7, 7
1964, 14.0916666666667, 15.5, 2, 4, 7
1965, -99.9, -99.9, 0, -99.9, 0
1966, -99.9, -99.9, 0, -99.9, 0
1967, 13.6116666666667, 15.6, 3, 12, 20
1968, -99.9, -99.9, 0, -99.9, 0
1969, 15.0475, 18.9, 2, 5, 9
1970, -99.9, -99.9, 0, -99.9, 0
1971, -99.9, -99.9, 0, -99.9, 0
1972, -99.9, -99.9, 0, -99.9, 0
1973, 14.8208333333333, 18.5, 4, 6, 13
1974, 14.6944444444444, 17.3, 3, 4, 11
1975, 15.125, 17.2, 2, 4, 7
1976, -99.9, -99.9, 0, -99.9, 0
1977, -99.9, -99.9, 0, -99.9, 0
1978, 12.9, 14.5, 1, 3, 3
1979, 14.3666666666667, 15.7, 1, 3, 3
1980, 17.175, 18.1, 1, 4, 4
1981, -99.9, -99.9, 0, -99.9, 0
1982, -99.9, -99.9, 0, -99.9, 0
1983, 15.4, 16, 1, 4, 4
1984, -99.9, -99.9, 0, -99.9, 0
1985, 12.4333333333333, 12.6, 1, 3, 3
1986, -99.9, -99.9, 0, -99.9, 0
1987, 15.1666666666667, 18, 2, 3, 6
1988, 14.1888888888889, 18.2, 3, 3, 9
1989, 13.4416666666667, 16.7, 4, 4, 13
1990, 16.2666666666667, 17.4, 1, 3, 3
1991, 14.9333333333333, 16.3, 2, 6, 9
1992, 12.9666666666667, 14.8, 1, 3, 3
1993, 13.54, 14.5, 1, 5, 5
1994, -99.9, -99.9, 0, -99.9, 0
1995, 15.5583333333333, 18.1, 4, 5, 14
1996, 15.0375, 18, 2, 4, 8
1997, -99.9, -99.9, 0, -99.9, 0
1998, 15.8011111111111, 22.5, 6, 5, 24
1999, 12.7, 14, 1, 5, 5
2000, 18.45, 18.9, 1, 4, 4
2001, 15.6, 15.9, 1, 3, 3
2002, -99.9, -99.9, 0, -99.9, 0
2003, 16.4708333333333, 22, 2, 4, 7
2004, -99.9, -99.9, 0, -99.9, 0
2005, -99.9, -99.9, 0, -99.9, 0
2006, -99.9, -99.9, 0, -99.9, 0
2007, 14.5125, 17, 4, 4, 13
2008, 14.5583333333333, 17.2, 4, 5, 16
2009, 16.025, 18.1, 4, 4, 15
2010, 13.9425, 16.6, 2, 5, 9
2011, 13.65, 14.1, 1, 4, 4
2012, -99.9, -99.9, 0, -99.9, 0
2013, 14.4188888888889, 20.1, 3, 6, 14
2014, 13.65, 15.9, 1, 4, 4
2015, 14.4666666666667, 15.4, 1, 3, 3
