"Description: ","Annual number of days when TN < 2 °C"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, tnlt2, normalised (all years)
1936, 0, -99.9
1937, 0, -99.9
1938, 0, -99.9
1939, 0, -99.9
1940, 0, -99.9
1941, 0, -99.9
1942, 0, -99.9
1943, 0, -99.9
1944, 0, -99.9
1945, 0, -99.9
1946, 0, -99.9
1947, 0, -99.9
1948, 0, -99.9
1949, 0, -99.9
1950, 0, -99.9
1951, 0, -99.9
1952, 0, -99.9
1953, 0, -99.9
1954, 0, -99.9
1955, 0, -99.9
1956, 0, -99.9
1957, 0, -99.9
1958, 0, -99.9
1959, 0, -99.9
1960, 0, -99.9
1961, 0, -99.9
1962, 0, -99.9
1963, 0, -99.9
1964, 0, -99.9
1965, 0, -99.9
1966, 0, -99.9
1967, 0, -99.9
1968, 0, -99.9
1969, 0, -99.9
1970, 0, -99.9
1971, 0, -99.9
1972, 0, -99.9
1973, 0, -99.9
1974, 0, -99.9
1975, 0, -99.9
1976, 0, -99.9
1977, 0, -99.9
1978, 0, -99.9
1979, 0, -99.9
1980, 0, -99.9
1981, 0, -99.9
1982, 0, -99.9
1983, 0, -99.9
1984, 0, -99.9
1985, 0, -99.9
1986, 0, -99.9
1987, 0, -99.9
1988, 0, -99.9
1989, 0, -99.9
1990, 0, -99.9
1991, 0, -99.9
1992, 0, -99.9
1993, 0, -99.9
1994, 0, -99.9
1995, 0, -99.9
1996, -99.9, -99.9
1997, 0, -99.9
1998, 0, -99.9
1999, 0, -99.9
2000, 0, -99.9
2001, 0, -99.9
2002, 0, -99.9
2003, 0, -99.9
2004, 0, -99.9
2005, 0, -99.9
2006, 0, -99.9
2007, 0, -99.9
2008, 0, -99.9
2009, 0, -99.9
2010, 0, -99.9
2011, 0, -99.9
2012, 0, -99.9
2013, 0, -99.9
2014, 0, -99.9
2015, 0, -99.9
