"Description: ","Monthly coldest daily TN"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, tnn, normalised (all years)
1936-01, 13.9, 0.978441342937017
1936-02, 14.6, 1.16022189631305
1936-03, 12.8, 0.692786187631823
1936-04, 8.6, -0.397897132624375
1936-05, 6.7, -0.891301491787892
1936-06, 5, -1.33276854998683
1936-07, 5, -1.33276854998683
1936-08, 6.8, -0.865332841305602
1936-09, 5.9, -1.09905069564622
1936-10, 10.3, 0.0435699255745624
1936-11, 9.3, -0.216116579248342
1936-12, 14.7, 1.18619054679534
1937-01, 16.1, 1.54975165354741
1937-02, 15.2, 1.31603379920679
1937-03, 13.6, 0.900535391490145
1937-04, 9.4, -0.190147928766051
1937-05, 6.3, -0.995176093717054
1937-06, 6.7, -0.891301491787892
1937-07, 4.7, -1.4106745014337
1937-08, 5.3, -1.25486259853996
1937-09, 6.9, -0.839364190823312
1937-10, 11.3, 0.303256430397466
1937-11, 11.7, 0.407131032326628
1937-12, 14.4, 1.10828459534847
1938-01, 13.8, 0.952472692454727
1938-02, 14.4, 1.10828459534847
1938-03, 12.6, 0.640848886667241
1938-04, 9.4, -0.190147928766051
1938-05, 6.9, -0.839364190823312
1938-06, 3.7, -1.6703610062566
1938-07, 3.6, -1.6963296567389
1938-08, 2.8, -1.90407886059722
1938-09, 7.5, -0.683552287929569
1938-10, 11.1, 0.251319129432885
1938-11, 14, 1.00440999341931
1938-12, 12.4, 0.588911585702661
1939-01, 15.6, 1.41990840113595
1939-02, 15.2, 1.31603379920679
1939-03, 12.3, 0.562942935220371
1939-04, 10.3, 0.0435699255745624
1939-05, 8.6, -0.397897132624375
1939-06, 5.7, -1.1509879966108
1939-07, 4.2, -1.54051775384515
1939-08, 4.6, -1.43664315191599
1939-09, 5.6, -1.17695664709309
1939-10, 8.1, -0.527740385035827
1939-11, 9.3, -0.216116579248342
1939-12, 12.2, 0.53697428473808
1940-01, 13.9, 0.978441342937017
1940-02, 15.4, 1.36797110017137
1940-03, 14.7, 1.18619054679534
1940-04, 9.7, -0.11224197731918
1940-05, 8.1, -0.527740385035827
1940-06, 5.8, -1.12501934612851
1940-07, 4.7, -1.4106745014337
1940-08, 5.6, -1.17695664709309
1940-09, 6.3, -0.995176093717054
1940-10, 8.6, -0.397897132624375
1940-11, 10.3, 0.0435699255745624
1940-12, 14.5, 1.13425324583076
1941-01, 14.4, 1.10828459534847
1941-02, 13.4, 0.848598090525565
1941-03, 10.9, 0.199381828468305
1941-04, 8.8, -0.345959831659794
1941-05, 8.2, -0.501771734553537
1941-06, 5.5, -1.20292529757538
1941-07, 4.4, -1.48858045288057
1941-08, 4.3, -1.51454910336286
1941-09, 6.6, -0.917270142270183
1941-10, 7.3, -0.73548958889415
1941-11, 12.9, 0.718754838114113
1941-12, 12.4, 0.588911585702661
1942-01, 14.6, 1.16022189631305
1942-02, 14.3, 1.08231594486618
1942-03, 13.9, 0.978441342937017
1942-04, 9.8, -0.0862733268368897
1942-05, 8.4, -0.449834433588955
1942-06, 6.1, -1.04711339468164
1942-07, 4, -1.59245505480973
1942-08, 5.7, -1.1509879966108
1942-09, 7.3, -0.73548958889415
1942-10, 7.2, -0.76145823937644
1942-11, 12.4, 0.588911585702661
1942-12, 11.6, 0.381162381844337
1943-01, 12.7, 0.666817537149532
1943-02, 14.9, 1.23812784775992
1943-03, 14, 1.00440999341931
1943-04, 9, -0.294022530695213
1943-05, 8.8, -0.345959831659794
1943-06, 4.4, -1.48858045288057
1943-07, 3.2, -1.80020425866806
1943-08, 3.4, -1.74826695770348
1943-09, 7.3, -0.73548958889415
1943-10, 8.9, -0.319991181177503
1943-11, 11.7, 0.407131032326628
1943-12, 12.8, 0.692786187631823
1944-01, 15.6, 1.41990840113595
1944-02, 13.8, 0.952472692454727
1944-03, 13.4, 0.848598090525565
1944-04, 8.4, -0.449834433588955
1944-05, 7, -0.813395540341021
1944-06, 4.4, -1.48858045288057
1944-07, 3.8, -1.64439235577431
1944-08, 4.7, -1.4106745014337
1944-09, 6.1, -1.04711339468164
1944-10, 8.1, -0.527740385035827
1944-11, 12.9, 0.718754838114113
1944-12, 12.3, 0.562942935220371
1945-01, 15.4, 1.36797110017137
1945-02, 15.6, 1.41990840113595
1945-03, 12.6, 0.640848886667241
1945-04, 10.6, 0.121475877021433
1945-05, 7.7, -0.631614986964988
1945-06, 6.2, -1.02114474419934
1945-07, 4.2, -1.54051775384515
1945-08, 7.1, -0.787426889858731
1945-09, 4.9, -1.35873720046912
1945-10, 6.6, -0.917270142270183
1945-11, 10.1, -0.00836737539001874
1945-12, 12.8, 0.692786187631823
1946-01, 17.3, 1.86137545933489
1946-02, 16.2, 1.5757203040297
1946-03, 12.7, 0.666817537149532
1946-04, 9.7, -0.11224197731918
1946-05, 7, -0.813395540341021
1946-06, 5.7, -1.1509879966108
1946-07, 6.2, -1.02114474419934
1946-08, 5.1, -1.30679989950454
1946-09, 5.4, -1.22889394805767
1946-10, 7.8, -0.605646336482698
1946-11, 12.6, 0.640848886667241
1946-12, 13.3, 0.822629440043275
1947-01, 15, 1.26409649824221
1947-02, 16.3, 1.60168895451199
1947-03, 13.6, 0.900535391490145
1947-04, 10.7, 0.147444527503724
1947-05, 8.9, -0.319991181177503
1947-06, 4.6, -1.43664315191599
1947-07, 4.2, -1.54051775384515
1947-08, 3.8, -1.64439235577431
1947-09, 5.6, -1.17695664709309
1947-10, 8.9, -0.319991181177503
1947-11, 10.9, 0.199381828468305
