"Description: ","Monthly warmest daily TN"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, tnx, normalised (all years)
1936-01, 21.9, 0.934738552048783
1936-02, 21.2, 0.74439973141289
1936-03, 19.9, 0.390913350231946
1936-04, 19.3, 0.227765789686896
1936-05, 16.3, -0.587972013038359
1936-06, 11.8, -1.81157871712624
1936-07, 11.1, -2.00191753776213
1936-08, 16.7, -0.479206972674993
1936-09, 13.6, -1.32213603549109
1936-10, 21.4, 0.798782251594573
1936-11, 19.3, 0.227765789686896
1936-12, 21.1, 0.717208471322049
1937-01, 24.7, 1.69609383459235
1937-02, 21.1, 0.717208471322049
1937-03, 22.8, 1.17945989286636
1937-04, 18.3, -0.0441468112215228
1937-05, 17.5, -0.261676891948258
1937-06, 11.1, -2.00191753776213
1937-07, 12.3, -1.67562241667203
1937-08, 14.7, -1.02303217449183
1937-09, 17.9, -0.152911851584891
1937-10, 18.6, 0.0374269690510029
1937-11, 20.4, 0.526869650686155
1937-12, 21.5, 0.825973511685416
1938-01, 22.3, 1.04350359241215
1938-02, 20.9, 0.662825951140364
1938-03, 21.7, 0.880356031867099
1938-04, 19.8, 0.363722090141105
1938-05, 17.8, -0.180103111675732
1938-06, 12.9, -1.51247485612698
1938-07, 11.1, -2.00191753776213
1938-08, 12.8, -1.53966611621782
1938-09, 17.4, -0.2888681520391
1938-10, 18.3, -0.0441468112215228
1938-11, 19.7, 0.336530830050262
1938-12, 20.5, 0.554060910776997
1939-01, 21.9, 0.934738552048783
1939-02, 21.3, 0.771590991503732
1939-03, 21.8, 0.907547291957941
1939-04, 20.6, 0.58125217086784
1939-05, 15.1, -0.914267134128462
1939-06, 12.7, -1.56685737630867
1939-07, 9.3, -2.49136021939729
1939-08, 14.4, -1.10460595476435
1939-09, 15, -0.941458394219304
1939-10, 17.7, -0.207294371766574
1939-11, 18.8, 0.0918094892326864
1939-12, 20.4, 0.526869650686155
1940-01, 21.7, 0.880356031867099
1940-02, 21.5, 0.825973511685416
1940-03, 21.8, 0.907547291957941
1940-04, 19.9, 0.390913350231946
1940-05, 14.4, -1.10460595476435
1940-06, 16.1, -0.642354533220043
1940-07, 13.8, -1.26775351530941
1940-08, 13.4, -1.37651855567277
1940-09, 16.2, -0.615163273129202
1940-10, 19.3, 0.227765789686896
1940-11, 18.9, 0.119000749323528
1940-12, 21.8, 0.907547291957941
1941-01, 20.3, 0.499678390595314
1941-02, 21, 0.690017211231207
1941-03, 21, 0.690017211231207
1941-04, 18.8, 0.0918094892326864
1941-05, 14.9, -0.968649654310145
1941-06, 13.4, -1.37651855567277
1941-07, 15.1, -0.914267134128462
1941-08, 12.2, -1.70281367676287
1941-09, 16, -0.669545793310885
1941-10, 15.8, -0.723928313492569
1941-11, 19.4, 0.254957049777737
1941-12, 20.7, 0.608443430958681
1942-01, 21.8, 0.907547291957941
1942-02, 21.5, 0.825973511685416
1942-03, 21.6, 0.853164771776258
1942-04, 17.7, -0.207294371766574
1942-05, 20.8, 0.635634691049523
1942-06, 13.9, -1.24056225521856
1942-07, 18.1, -0.0985293314032063
1942-08, 15.1, -0.914267134128462
1942-09, 16.9, -0.424824452493309
1942-10, 19.2, 0.200574529596053
1942-11, 17.5, -0.261676891948258
1942-12, 20.9, 0.662825951140364
1943-01, 21.8, 0.907547291957941
1943-02, 21.1, 0.717208471322049
1943-03, 21.2, 0.74439973141289
1943-04, 18.4, -0.0169555511306816
1943-05, 14, -1.21337099512772
1943-06, 11.1, -2.00191753776213
1943-07, 11.4, -1.92034375748961
1943-08, 10.3, -2.21944761848887
1943-09, 15.6, -0.778310833674253
1943-10, 16.4, -0.560780752947518
1943-11, 18.7, 0.0646182291418441
1943-12, 19.6, 0.309339569959421
1944-01, 21.8, 0.907547291957941
1944-02, 22.9, 1.2066511529572
1944-03, 20.7, 0.608443430958681
1944-04, 18.7, 0.0646182291418441
1944-05, 15.1, -0.914267134128462
1944-06, 11.1, -2.00191753776213
1944-07, 12.4, -1.64843115658119
1944-08, 12.3, -1.67562241667203
1944-09, 16, -0.669545793310885
1944-10, 20.5, 0.554060910776997
1944-11, 19.1, 0.173383269505212
1944-12, 20.5, 0.554060910776997
1945-01, 20.7, 0.608443430958681
1945-02, 20.6, 0.58125217086784
1945-03, 20.3, 0.499678390595314
1945-04, 16.8, -0.45201571258415
1945-05, 13.9, -1.24056225521856
1945-06, 15.3, -0.859884613946778
1945-07, 11.1, -2.00191753776213
1945-08, 13.1, -1.4580923359453
1945-09, 15.7, -0.751119573583411
1945-10, 17.5, -0.261676891948258
1945-11, 19.3, 0.227765789686896
1945-12, 20, 0.418104610322788
1946-01, 22.7, 1.15226863277552
1946-02, 21.7, 0.880356031867099
1946-03, 19, 0.14619200941437
1946-04, 19.1, 0.173383269505212
1946-05, 14.1, -1.18617973503688
1946-06, 11.2, -1.97472627767129
