"Description: ","Value of 95th percentile of TX"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, tx95t, normalised (all years)
NA, 31.62, 0.86899603820187
NA, 31.8, 0.909805493218338
NA, 32.82, 1.14105907164499
NA, 32.99, 1.17960133471609
NA, 33.02, 1.18640291055217
NA, 33.5, 1.29522812392942
NA, 34.18, 1.44939717621385
NA, 33.6, 1.31790004338301
NA, 33.56, 1.30883127560157
NA, 33.545, 1.30543048768353
NA, 32.92, 1.16373099109858
NA, 31.84, 0.918874260999775
NA, 33.28, 1.24534990113151
NA, 33.3, 1.24988428502223
NA, 33.675, 1.3349039829732
NA, 34.04, 1.41765648897882
NA, 33.3, 1.24988428502223
NA, 30.775, 0.67741831881901
NA, 31.56, 0.855392886529714
NA, 30.74, 0.669483147010252
NA, 31.56, 0.855392886529714
NA, 31.52, 0.846324118748277
NA, 34.13, 1.43806121648705
NA, 33.76, 1.35417511450876
NA, 33.78, 1.35870949839948
NA, 33.62, 1.32243442727373
NA, 33.78, 1.35870949839948
NA, 30.92, 0.71029260202672
NA, 30.92, 0.71029260202672
NA, 32.69, 1.11158557635531
NA, 33.23, 1.23401394140472
NA, 34.16, 1.44486279232313
NA, 35.36, 1.71692582576624
NA, 34.225, 1.45959953996797
NA, 34.225, 1.45959953996797
NA, 33.15, 1.21587640584184
NA, 32.54, 1.07757769717492
NA, 32.82, 1.14105907164499
NA, 33.065, 1.19660527430629
NA, 33.405, 1.2736898004485
NA, 34.015, 1.41198850911542
NA, 35.135, 1.66591400699566
NA, 32.925, 1.16486458707126
NA, 32.65, 1.10251680857388
NA, 32.05, 0.966485291852319
NA, 30.85, 0.694422258409205
NA, 30.8, 0.683086298682409
NA, 30.8, 0.683086298682409
NA, 30.83, 0.689887874518486
NA, 30.715, 0.663815167146855
NA, 30.715, 0.663815167146855
NA, 30.715, 0.663815167146855
NA, 30.4, 0.592398620868037
NA, 29.325, 0.348675486741913
NA, 30.025, 0.507378922917063
NA, 29.72, 0.438229568583605
NA, 30.93, 0.712559793972079
NA, 30.7, 0.660414379228815
NA, 31.175, 0.768105996633382
NA, 30.625, 0.643410439638621
NA, 30.62, 0.642276843665942
NA, 29.86, 0.469970255818635
NA, 29.715, 0.437095972610926
NA, 29.715, 0.437095972610926
NA, 29.715, 0.437095972610926
NA, 30.1, 0.524382862507259
NA, 29.76, 0.447298336365043
NA, 30.115, 0.527783650425297
NA, 30.115, 0.527783650425297
NA, 29.93, 0.48584059943615
NA, 29.19, 0.318068395479563
NA, 29.93, 0.48584059943615
NA, 29.915, 0.482439811518111
NA, 29.815, 0.459767892064519
NA, 30.015, 0.505111730971704
NA, 30.415, 0.595799408786076
NA, 29.745, 0.443897548447004
NA, 29.99, 0.499443751108306
NA, 30.53, 0.621872116157708
NA, 30.815, 0.686487086600448
NA, 30.445, 0.602600984622154
NA, 29.975, 0.496042963190267
NA, 30.445, 0.602600984622154
NA, 30.445, 0.602600984622154
NA, 30.275, 0.564058721551045
NA, 30.115, 0.527783650425297
NA, 30.275, 0.564058721551045
NA, 30.215, 0.55045556987889
NA, 30.115, 0.527783650425297
NA, 29.445, 0.375881790086225
NA, 29.73, 0.440496760528965
NA, 29.73, 0.440496760528965
NA, 29.915, 0.482439811518111
NA, 30.03, 0.508512518889743
NA, 30.03, 0.508512518889743
NA, 29.245, 0.330537951179039
NA, 29.015, 0.278392536435775
NA, 27.945, 0.0358029982823314
NA, 27.305, -0.109297286220663
NA, 25.9, -0.427837754543644
NA, 26.3, -0.337150076729272
NA, 26.65, -0.257798358641697
NA, 27.73, -0.0129416285428933
NA, 27.7, -0.0197432043789715
NA, 27.7, -0.0197432043789715
NA, 26.735, -0.238527227106143
NA, 26.66, -0.255531166696337
NA, 26.52, -0.287271853931368
NA, 26.52, -0.287271853931368
NA, 26.52, -0.287271853931368
NA, 26.675, -0.252130378778298
NA, 27.44, -0.0786901949583125
NA, 28.1, 0.0709444734354006
NA, 28.1, 0.0709444734354006
NA, 28.1, 0.0709444734354006
NA, 27.59, -0.0446823157779235
NA, 27.33, -0.103629306357265
NA, 27.3, -0.110430882193343
NA, 27.215, -0.129702013728897
NA, 26.7, -0.2464623989149
NA, 26.4, -0.314478157275679
NA, 26.06, -0.391562683417895
NA, 26.28, -0.34168446061999
NA, 26.52, -0.287271853931368
NA, 26.22, -0.355287612292146
NA, 26.22, -0.355287612292146
NA, 25.4, -0.541197351811608
NA, 25.4, -0.541197351811608
NA, 25.475, -0.524193412221413
NA, 25.475, -0.524193412221413
NA, 25.56, -0.50492228068586
NA, 25.96, -0.414234602871488
NA, 25.33, -0.557067695429123
NA, 24.075, -0.841600284571714
NA, 23.8, -0.903948063069094
NA, 23.8, -0.903948063069094
NA, 23.56, -0.958360669757717
NA, 23.4, -0.994635740883466
NA, 23.32, -1.01277327644634
NA, 23.32, -1.01277327644634
NA, 22.56, -1.18507986429365
NA, 22.56, -1.18507986429365
NA, 23.045, -1.07512105494372
NA, 23.1, -1.06265149924424
NA, 23.015, -1.0819226307798
NA, 23.1, -1.06265149924424
NA, 23.1, -1.06265149924424
NA, 23.1, -1.06265149924424
NA, 23.115, -1.05925071132621
NA, 23.3, -1.01730766033706
NA, 23.22, -1.03544519589993
NA, 23.3, -1.01730766033706
NA, 22.94, -1.09892657036999
NA, 22.48, -1.20321739985652
NA, 22.13, -1.2825691179441
NA, 22.1, -1.28937069378017
NA, 22.14, -1.28030192599874
NA, 22.14, -1.28030192599874
NA, 22.1, -1.28937069378017
NA, 21.76, -1.36645521992239
NA, 21.76, -1.36645521992239
NA, 20.715, -1.60337677821244
NA, 20.1, -1.74280908285203
NA, 20, -1.76548100230562
NA, 20, -1.76548100230562
NA, 19.845, -1.80062247745869
NA, 20.53, -1.64531982920158
