"Description: ","Monthly number of days when TX >= 30 °C"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, txge30, normalised (all years)
1936-01, 1, -0.167381397962028
1936-02, 0, -0.688546205252888
1936-03, 0, -0.688546205252888
1936-04, 1, -0.167381397962028
1936-05, 0, -0.688546205252888
1936-06, 0, -0.688546205252888
1936-07, 0, -0.688546205252888
1936-08, 0, -0.688546205252888
1936-09, 0, -0.688546205252888
1936-10, 3, 0.874948216619692
1936-11, 4, 1.39611302391055
1936-12, 3, 0.874948216619692
1937-01, 6, 2.43844263849227
1937-02, 1, -0.167381397962028
1937-03, 3, 0.874948216619692
1937-04, 0, -0.688546205252888
1937-05, 0, -0.688546205252888
1937-06, 0, -0.688546205252888
1937-07, 0, -0.688546205252888
1937-08, 0, -0.688546205252888
1937-09, 2, 0.353783409328832
1937-10, 1, -0.167381397962028
1937-11, 2, 0.353783409328832
1937-12, 2, 0.353783409328832
1938-01, 2, 0.353783409328832
1938-02, 1, -0.167381397962028
1938-03, 1, -0.167381397962028
1938-04, 2, 0.353783409328832
1938-05, 0, -0.688546205252888
1938-06, 0, -0.688546205252888
1938-07, 0, -0.688546205252888
1938-08, 0, -0.688546205252888
1938-09, 0, -0.688546205252888
1938-10, 4, 1.39611302391055
1938-11, 2, 0.353783409328832
1938-12, 7, 2.95960744578313
1939-01, 3, 0.874948216619692
1939-02, 2, 0.353783409328832
1939-03, 1, -0.167381397962028
1939-04, 0, -0.688546205252888
1939-05, 0, -0.688546205252888
1939-06, 0, -0.688546205252888
1939-07, 0, -0.688546205252888
1939-08, 0, -0.688546205252888
1939-09, 0, -0.688546205252888
1939-10, 0, -0.688546205252888
1939-11, 1, -0.167381397962028
1939-12, 5, 1.91727783120141
1940-01, 5, 1.91727783120141
1940-02, 6, 2.43844263849227
1940-03, 4, 1.39611302391055
1940-04, 0, -0.688546205252888
1940-05, 0, -0.688546205252888
1940-06, 0, -0.688546205252888
1940-07, 0, -0.688546205252888
1940-08, 0, -0.688546205252888
1940-09, 1, -0.167381397962028
1940-10, 3, 0.874948216619692
1940-11, 3, 0.874948216619692
1940-12, 6, 2.43844263849227
1941-01, 0, -0.688546205252888
1941-02, 2, 0.353783409328832
1941-03, 1, -0.167381397962028
1941-04, 2, 0.353783409328832
1941-05, 0, -0.688546205252888
1941-06, 0, -0.688546205252888
1941-07, 0, -0.688546205252888
1941-08, 0, -0.688546205252888
1941-09, 1, -0.167381397962028
1941-10, 2, 0.353783409328832
1941-11, 4, 1.39611302391055
1941-12, 4, 1.39611302391055
1942-01, 7, 2.95960744578313
1942-02, 1, -0.167381397962028
1942-03, 5, 1.91727783120141
1942-04, 1, -0.167381397962028
1942-05, 0, -0.688546205252888
1942-06, 0, -0.688546205252888
1942-07, 0, -0.688546205252888
1942-08, 0, -0.688546205252888
1942-09, 0, -0.688546205252888
1942-10, 2, 0.353783409328832
1942-11, 2, 0.353783409328832
1942-12, 3, 0.874948216619692
1943-01, 3, 0.874948216619692
1943-02, 6, 2.43844263849227
1943-03, 3, 0.874948216619692
1943-04, 1, -0.167381397962028
1943-05, 0, -0.688546205252888
1943-06, 0, -0.688546205252888
1943-07, 0, -0.688546205252888
1943-08, 0, -0.688546205252888
1943-09, 0, -0.688546205252888
1943-10, 0, -0.688546205252888
1943-11, 0, -0.688546205252888
1943-12, 1, -0.167381397962028
1944-01, 3, 0.874948216619692
1944-02, 5, 1.91727783120141
1944-03, 1, -0.167381397962028
1944-04, 1, -0.167381397962028
1944-05, 0, -0.688546205252888
1944-06, 0, -0.688546205252888
1944-07, 0, -0.688546205252888
1944-08, 0, -0.688546205252888
1944-09, 0, -0.688546205252888
1944-10, 4, 1.39611302391055
1944-11, 6, 2.43844263849227
1944-12, 6, 2.43844263849227
1945-01, 2, 0.353783409328832
1945-02, 2, 0.353783409328832
1945-03, 1, -0.167381397962028
1945-04, 0, -0.688546205252888
1945-05, 0, -0.688546205252888
1945-06, 0, -0.688546205252888
1945-07, 0, -0.688546205252888
1945-08, 0, -0.688546205252888
1945-09, 0, -0.688546205252888
1945-10, 2, 0.353783409328832
1945-11, 3, 0.874948216619692
1945-12, 2, 0.353783409328832
1946-01, 5, 1.91727783120141
1946-02, 5, 1.91727783120141
1946-03, 0, -0.688546205252888
1946-04, 0, -0.688546205252888
1946-05, 0, -0.688546205252888
1946-06, 0, -0.688546205252888
1946-07, 0, -0.688546205252888
1946-08, 0, -0.688546205252888
1946-09, 2, 0.353783409328832
1946-10, 2, 0.353783409328832
1946-11, 2, 0.353783409328832
1946-12, 6, 2.43844263849227
1947-01, 1, -0.167381397962028
1947-02, 2, 0.353783409328832
1947-03, 1, -0.167381397962028
1947-04, 0, -0.688546205252888
1947-05, 0, -0.688546205252888
1947-06, 0, -0.688546205252888
1947-07, 0, -0.688546205252888
1947-08, 0, -0.688546205252888
1947-09, 0, -0.688546205252888
1947-10, 0, -0.688546205252888
1947-11, 0, -0.688546205252888
1947-12, 3, 0.874948216619692
1948-01, 0, -0.688546205252888
1948-02, 2, 0.353783409328832
1948-03, 1, -0.167381397962028
1948-04, 0, -0.688546205252888
1948-05, 0, -0.688546205252888
1948-06, 0, -0.688546205252888
1948-07, 0, -0.688546205252888
1948-08, 0, -0.688546205252888
1948-09, 0, -0.688546205252888
1948-10, 5, 1.91727783120141
1948-11, 0, -0.688546205252888
1948-12, 1, -0.167381397962028
1949-01, 2, 0.353783409328832
1949-02, 8, 3.48077225307399
1949-03, 0, -0.688546205252888
1949-04, 1, -0.167381397962028
1949-05, 0, -0.688546205252888
1949-06, 0, -0.688546205252888
1949-07, 0, -0.688546205252888
1949-08, 0, -0.688546205252888
1949-09, 0, -0.688546205252888
1949-10, 2, 0.353783409328832
1949-11, 1, -0.167381397962028
1949-12, 3, 0.874948216619692
1950-01, 3, 0.874948216619692
1950-02, 0, -0.688546205252888
1950-03, 0, -0.688546205252888
1950-04, 0, -0.688546205252888
1950-05, 0, -0.688546205252888
1950-06, 0, -0.688546205252888
1950-07, 0, -0.688546205252888
1950-08, 0, -0.688546205252888
1950-09, 0, -0.688546205252888
1950-10, 0, -0.688546205252888
1950-11, 0, -0.688546205252888
1950-12, 3, 0.874948216619692
1951-01, 0, -0.688546205252888
1951-02, 1, -0.167381397962028
1951-03, 3, 0.874948216619692
1951-04, 0, -0.688546205252888
1951-05, 0, -0.688546205252888
1951-06, 0, -0.688546205252888
1951-07, 0, -0.688546205252888
1951-08, 0, -0.688546205252888
1951-09, 1, -0.167381397962028
1951-10, 1, -0.167381397962028
1951-11, 4, 1.39611302391055
1951-12, 3, 0.874948216619692
1952-01, 5, 1.91727783120141
1952-02, 2, 0.353783409328832
1952-03, 2, 0.353783409328832
1952-04, 1, -0.167381397962028
1952-05, 0, -0.688546205252888
1952-06, 0, -0.688546205252888
1952-07, 0, -0.688546205252888
1952-08, 0, -0.688546205252888
