"Description: ","Monthly coldest daily TX"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, txn, normalised (all years)
1936-01, 19, 0.604668305459685
1936-02, 19.6, 0.795553334790625
1936-03, 19.9, 0.890995849456093
1936-04, 17.2, 0.0320132174668674
1936-05, 16.3, -0.254314326529541
1936-06, 12.7, -1.39962450251518
1936-07, 13.3, -1.20873947318424
1936-08, 12.2, -1.55869536029096
1936-09, 14.1, -0.954226100742985
1936-10, 17.1, 0.000199045911711539
1936-11, 17.4, 0.0956415605771802
1936-12, 21.5, 1.4000225943386
1937-01, 18.7, 0.509225790794215
1937-02, 21.1, 1.27276590811797
1937-03, 19.9, 0.890995849456093
1937-04, 16.4, -0.222500154974385
1937-05, 13.1, -1.27236781629455
1937-06, 12.9, -1.33599615940486
1937-07, 11.5, -1.78139456117705
1937-08, 13.4, -1.17692530162908
1937-09, 16.2, -0.286128498084698
1937-10, 16.1, -0.317942669639854
1937-11, 17.7, 0.19108407524265
1937-12, 21.4, 1.36820842278344
1938-01, 21.1, 1.27276590811797
1938-02, 21.4, 1.36820842278344
1938-03, 16.4, -0.222500154974385
1938-04, 18.4, 0.413783276128745
1938-05, 15.8, -0.413385184305324
1938-06, 12.4, -1.49506701718065
1938-07, 10.8, -2.00409376206315
1938-08, 11.8, -1.68595204651158
1938-09, 14.4, -0.858783586077515
1938-10, 17.4, 0.0956415605771802
1938-11, 18, 0.28652658990812
1938-12, 19.1, 0.636482477014842
1939-01, 19.3, 0.700110820125155
1939-02, 22.4, 1.68635013833501
1939-03, 19.4, 0.731924991680311
1939-04, 15.1, -0.63608438519142
1939-05, 16.3, -0.254314326529541
1939-06, 13.6, -1.11329695851877
1939-07, 12.8, -1.36781033096002
1939-08, 12.6, -1.43143867407033
1939-09, 13.6, -1.11329695851877
1939-10, 15.6, -0.477013527415637
1939-11, 19, 0.604668305459685
1939-12, 19.9, 0.890995849456093
1940-01, 19.5, 0.763739163235468
1940-02, 21.5, 1.4000225943386
1940-03, 21.6, 1.43183676589376
1940-04, 18.4, 0.413783276128745
1940-05, 14.4, -0.858783586077515
1940-06, 14.4, -0.858783586077515
1940-07, 12.4, -1.49506701718065
1940-08, 14.6, -0.795155242967202
1940-09, 13.1, -1.27236781629455
1940-10, 15.3, -0.572456042081106
1940-11, 17.4, 0.0956415605771802
1940-12, 18.7, 0.509225790794215
1941-01, 20.8, 1.1773233934525
1941-02, 18.2, 0.350154933018433
1941-03, 20.1, 0.954624192566407
1941-04, 15.8, -0.413385184305324
1941-05, 15.1, -0.63608438519142
1941-06, 13.1, -1.27236781629455
1941-07, 13.6, -1.11329695851877
1941-08, 12.6, -1.43143867407033
1941-09, 15.2, -0.604270213636263
1941-10, 12.9, -1.33599615940486
1941-11, 16.5, -0.190685983419228
1941-12, 19.7, 0.82736750634578
1942-01, 20, 0.92281002101125
1942-02, 20.7, 1.14550922189735
1942-03, 17.1, 0.000199045911711539
1942-04, 16, -0.349756841195011
1942-05, 17.2, 0.0320132174668674
1942-06, 13.6, -1.11329695851877
1942-07, 13, -1.30418198784971
1942-08, 14.3, -0.890597757632671
1942-09, 14.4, -0.858783586077515
1942-10, 15, -0.667898556746576
1942-11, 15.8, -0.413385184305324
1942-12, 18.5, 0.445597447683902
1943-01, 18.6, 0.477411619239059
1943-02, 21, 1.24095173656282
1943-03, 20.9, 1.20913756500766
1943-04, 17, -0.0316151256434454
1943-05, 15.3, -0.572456042081106
1943-06, 11.9, -1.65413787495643
1943-07, 11.4, -1.81320873273221
1943-08, 12.2, -1.55869536029096
1943-09, 13.2, -1.24055364473939
1943-10, 16.7, -0.127057640308915
1943-11, 15.7, -0.44519935586048
1943-12, 17, -0.0316151256434454
1944-01, 20.4, 1.05006670723188
1944-02, 20.6, 1.11369505034219
1944-03, 19.2, 0.668296648569998
1944-04, 16.6, -0.158871811864071
1944-05, 14.4, -0.858783586077515
1944-06, 12.7, -1.39962450251518
1944-07, 12.2, -1.55869536029096
1944-08, 12.8, -1.36781033096002
1944-09, 13.4, -1.17692530162908
1944-10, 15.8, -0.413385184305324
1944-11, 18.4, 0.413783276128745
1944-12, 19.3, 0.700110820125155
1945-01, 20.6, 1.11369505034219
1945-02, 20.2, 0.986438364121563
1945-03, 17.4, 0.0956415605771802
1945-04, 18.2, 0.350154933018433
1945-05, 13.9, -1.0178544438533
1945-06, 13.6, -1.11329695851877
1945-07, 12.3, -1.5268811887358
1945-08, 13.9, -1.0178544438533
1945-09, 13.8, -1.04966861540845
1945-10, 15.1, -0.63608438519142
1945-11, 17.3, 0.0638273890220244
1945-12, 19.6, 0.795553334790625
1946-01, 20.2, 0.986438364121563
1946-02, 20.3, 1.01825253567672
1946-03, 19.1, 0.636482477014842
1946-04, 16.8, -0.0952434687537583
1946-05, 14, -0.986040272298141
1946-06, 13, -1.30418198784971
1946-07, 14.6, -0.795155242967202
1946-08, 13.8, -1.04966861540845
1946-09, 14.4, -0.858783586077515
1946-10, 14.6, -0.795155242967202
1946-11, 16.2, -0.286128498084698
1946-12, 19.9, 0.890995849456093
