"Description: ","Monthly warmest daily TX"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, txx, normalised (all years)
1936-01, 36.9, 1.3183293828744
1936-02, 27.8, -0.308153785487317
1936-03, 29.4, -0.0221787229182235
1936-04, 33, 0.621265167862237
1936-05, 26.9, -0.469014758182432
1936-06, 21.1, -1.5056743599954
1936-07, 20.1, -1.68440877410108
1936-08, 27.3, -0.397520992540159
1936-09, 29.7, 0.0314416013134816
1936-10, 35.9, 1.13959496876872
1936-11, 37.7, 1.46131691415895
1936-12, 34.6, 0.907240230431331
1937-01, 36.7, 1.28258250005327
1937-02, 32.6, 0.549771402219964
1937-03, 35.1, 0.996607437484173
1937-04, 27.2, -0.415394433950727
1937-05, 27.6, -0.343900668308453
1937-06, 19.8, -1.73802909833279
1937-07, 22.9, -1.18395241460517
1937-08, 22.2, -1.30906650447914
1937-09, 31.5, 0.353163546703712
1937-10, 30.3, 0.138682249776892
1937-11, 34.1, 0.81787302337849
1937-12, 35.7, 1.10384808594758
1938-01, 31.3, 0.317416663882576
1938-02, 31.3, 0.317416663882576
1938-03, 34.3, 0.853619906199626
1938-04, 31.1, 0.281669781061439
1938-05, 24.8, -0.844357027804367
1938-06, 23, -1.1660789731946
1938-07, 21.3, -1.46992747717426
1938-08, 24.5, -0.897977352036073
1938-09, 27.4, -0.379647551129591
1938-10, 31.9, 0.424657312345985
1938-11, 35.2, 1.01448087889474
1938-12, 36.8, 1.30045594146383
1939-01, 45.3, 2.81969846136214
1939-02, 38.8, 1.6579247696752
1939-03, 32.3, 0.496151077988258
1939-04, 25.1, -0.790736703572662
1939-05, 25.6, -0.701369496519821
1939-06, 21, -1.52354780140596
1939-07, 19.4, -1.80952286397506
1939-08, 27.2, -0.415394433950727
1939-09, 29.6, 0.0135681599029137
1939-10, 28.2, -0.236660019845044
1939-11, 33.9, 0.782126140557352
1939-12, 38.8, 1.6579247696752
1940-01, 41.3, 2.10476080493941
1940-02, 39.4, 1.76516541813861
1940-03, 38.7, 1.64005132826463
1940-04, 29.4, -0.0221787229182235
1940-05, 22.9, -1.18395241460517
1940-06, 25.6, -0.701369496519821
1940-07, 22.5, -1.25544618024744
1940-08, 26.2, -0.594128848056411
1940-09, 30.8, 0.228049456829734
1940-10, 35.3, 1.03235432030531
