"Description: ","Annual number of days with at least 1 consecutive days when TX > 90th percentile"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, wsdi1, normalised (all years)
1936, -99.9, -99.9
1937, -99.9, -99.9
1938, 35, -0.376745029682568
1939, -99.9, -99.9
1940, 61, 1.4796357214146
1941, 36, -0.305345770024985
1942, 51, 0.765643124838767
1943, 24, -1.16213688591599
1944, 47, 0.480046086208433
1945, 24, -1.16213688591599
1946, 43, 0.194449047578099
1947, 33, -0.519543548997735
1948, -99.9, -99.9
1949, -99.9, -99.9
1950, 20, -1.44773392454632
1951, 31, -0.662342068312902
1952, 28, -0.876539847285653
1953, 31, -0.662342068312902
1954, 29, -0.805140587628069
1955, 28, -0.876539847285653
1956, 25, -1.0907376262584
1957, -99.9, -99.9
1958, -99.9, -99.9
1959, 23, -1.23353614557357
1960, 36, -0.305345770024985
1961, 29, -0.805140587628069
1962, 28, -0.876539847285653
1963, 24, -1.16213688591599
1964, 47, 0.480046086208433
1965, -99.9, -99.9
1966, -99.9, -99.9
1967, -99.9, -99.9
1968, -99.9, -99.9
1969, 42, 0.123049787920516
1970, -99.9, -99.9
1971, -99.9, -99.9
1972, -99.9, -99.9
1973, -99.9, -99.9
1974, -99.9, -99.9
1975, -99.9, -99.9
1976, 33, -0.519543548997735
1977, 54, 0.979840903811518
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 42, 0.123049787920516
1983, -99.9, -99.9
1984, -99.9, -99.9
1985, 25, -1.0907376262584
1986, -99.9, -99.9
1987, -99.9, -99.9
1988, -99.9, -99.9
1989, 21, -1.37633466488874
1990, 40, -0.019748731394651
1991, -99.9, -99.9
1992, -99.9, -99.9
1993, -99.9, -99.9
1994, -99.9, -99.9
1995, -99.9, -99.9
1996, -99.9, -99.9
1997, 41, 0.0516505282629325
1998, 50, 0.694243865181184
1999, 23, -1.23353614557357
2000, 36, -0.305345770024985
2001, 58, 1.26543794244185
2002, 60, 1.40823646175702
2003, 50, 0.694243865181184
2004, 68, 1.97943053901769
2005, 62, 1.55103498107219
2006, 53, 0.908441644153934
2007, 46, 0.40864682655085
2008, 30, -0.733741327970486
2009, -99.9, -99.9
2010, 43, 0.194449047578099
2011, 51, 0.765643124838767
2012, 39, -0.0911479910522344
2013, 73, 2.3364268373056
2014, 66, 1.83663201970252
2015, 54, 0.979840903811518
