"Description: ",""
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
Year,Prec,TX,TN
1936,0,2,2
1937,0,1,1
1938,0,0,0
1939,0,1,1
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,2,2
1949,0,1,1
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,1,1
1958,0,2,2
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,2,2
1966,0,1,1
1967,0,2,2
1968,0,1,1
1969,0,0,0
1970,0,1,1
1971,0,1,1
1972,0,1,1
1973,0,2,2
1974,0,1,1
1975,0,2,2
1976,0,0,0
1977,0,0,0
1978,0,1,1
1979,0,2,2
1980,0,1,1
1981,0,1,1
1982,0,0,0
1983,0,1,1
1984,0,4,4
1985,0,0,0
1986,0,2,2
1987,0,1,1
1988,0,1,2
1989,0,0,0
1990,0,0,0
1991,0,3,3
1992,0,1,1
1993,0,2,2
1994,0,1,1
1995,0,1,1
1996,0,10,6
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,1
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,2,1
2010,3,0,2
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,4,0,1
2015,0,0,0
