"Description: ","Outliers shown in *boxseries.pdf"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
Date,Prec,TX,TN,DTR
"Prec up"
1938-1-31,147.1,21.8,17.2,4.6
1949-1-10,146.1,19.4,16.1,3.3
1950-1-19,113.8,27.7,21.3,6.4
1951-1-18,56.9,23.6,18.9,4.7
1955-1-23,151.9,22.3,18.8,3.5
1967-1-26,72.9,22.3,17.1,5.2
1972-1-14,71.1,20.4,15.2,5.2
1972-1-15,88.6,22.8,16.8,6
1973-1-8,168.9,24.2,18,6.2
1973-1-28,68.6,22.1,20.1,2
1974-1-24,62,27.1,17.7,9.4
1976-1-13,62.6,22.3,17.9,4.4
1976-1-21,68.8,23.1,19.7,3.4
1978-1-29,58.8,25.5,16.8,8.7
1980-1-3,65.6,24.5,19,5.5
1988-1-17,191,21.8,19.6,2.2
1991-1-27,65.4,28.4,20.9,7.5
1997-1-30,76.2,21.4,19.1,2.3
1999-1-22,81,22.8,18.9,3.9
2001-1-31,110,22.5,19.1,3.4
2013-1-29,95.2,26.2,19.3,6.9
2015-1-28,57,20.5,17.3,3.2
1947-2-26,65,22.6,17.8,4.8
1949-2-24,68.8,17.2,12.1,5.1
1954-2-22,113.3,31.1,20.9,10.2
1955-2-25,60.5,21.3,18.7,2.6
1956-2-10,192,23.1,20.4,2.7
1956-2-11,93.2,26.7,20.8,5.9
1956-2-22,71.9,25.1,21,4.1
1958-2-7,69.6,22.4,18.9,3.5
1958-2-8,67.3,22.6,18.9,3.7
1958-2-9,148.3,22.9,19.4,3.5
1959-2-19,134.6,20.9,17.9,3
1969-2-10,63.5,22.4,17.9,4.5
1969-2-11,73.4,21.8,19.3,2.5
1971-2-1,74.7,29.6,18.4,11.2
1973-2-1,80,25.8,20.1,5.7
1974-2-20,74,22.8,18.4,4.4
1976-2-29,63.6,28.6,20.3,8.3
1977-2-23,83,27,19.4,7.6
1988-2-14,59.8,22.5,17.2,5.3
1990-2-3,243.6,20.1,18.4,1.7
1990-2-4,137.4,21.7,18.3,3.4
1990-2-7,59,22.2,19.4,2.8
1992-2-9,190,22,17.9,4.1
1992-2-10,146.6,25.7,17.7,8
1993-2-18,66.2,25.1,18.3,6.8
1997-2-12,76.8,21.8,18.3,3.5
2002-2-5,130.4,20.3,16.9,3.4
2004-2-25,65.4,21.2,17.2,4
2008-2-5,77.4,25.7,19.7,6
2010-2-7,77.4,25,20.2,4.8
2010-2-13,70,25.5,21.4,4.1
1937-3-16,86.1,21.3,18.5,2.8
1942-3-28,280.7,21.2,18.6,2.6
1952-3-23,63.2,20.6,14.4,6.2
1953-3-24,59.2,27,20.2,6.8
1956-3-2,87.4,26.8,21.1,5.7
1957-3-29,90.4,21.8,17.2,4.6
1958-3-10,105.9,21.9,18.3,3.6
1958-3-11,126.5,23.3,20.6,2.7
1964-3-7,70.9,20.1,16.1,4
