Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
NA, 17, 28.6, 0
NA, 17.1, 25.9, 0
NA, 18.4, 23.9, 0
NA, 14.5, 24.1, 9.1
NA, 18.8, 24.3, 0.8
NA, 17.3, 23.6, 3
NA, 18.3, 23.7, 0
NA, 15.6, 25.1, 0
NA, 18.8, 31.9, 0
NA, 20.6, 23, 0
NA, 18.2, 25.6, 3.3
NA, 20.1, 26.2, 0
NA, 22.3, 27.3, 0
NA, 21.8, 25.1, 0
NA, 20.2, 26.1, 0
NA, 20.9, 27.4, 0
NA, 21, 25.8, 0.8
NA, 19.2, 22.2, 0.3
NA, NA, NA, 16
NA, 17.7, 20.8, 24.4
NA, 17.6, 20.6, 4.3
NA, 16.7, 22.1, 4.8
NA, 16.6, 23.8, 0.8
NA, 17.2, 25.4, 0.5
NA, 20.6, 26.8, 0
NA, 21.3, 27.8, 0
NA, 22.2, 28.3, 0
NA, 22.9, 30.6, 0
NA, 19.9, 22.6, 15.7
NA, 19.3, 24.9, 17
NA, 20.1, 22.9, 19.1
NA, 18.4, 29.6, 74.7
NA, 20.3, 31.3, 0
NA, 22.3, 26.6, 0.8
NA, 20.2, 23.6, 19.6
NA, 19.9, 26.9, 6.9
NA, 23.1, 26.7, 2.5
NA, 21.8, 27.7, 2.5
NA, 23.9, 27.8, 0
NA, 23.1, 28.7, 4.8
NA, 23.9, 27.1, 0
NA, 14.8, 21.6, 23.6
NA, 16.7, 25.1, 1.3
NA, 17.9, 27.7, 0
NA, 19.8, 26.1, 0
NA, 19.1, 25.3, 0
NA, 20, 26.3, 0
NA, 19.6, 27.7, 5.8
NA, 23.1, 27.4, 0.3
NA, 21.7, 26.7, 4.3
NA, 20.6, 26.2, 10.9
NA, 19.6, 26.6, 0
NA, 20.2, 26.3, 0
NA, 19.9, 26.7, 0
NA, 18.7, 24.1, 4.8
NA, 17.7, 24.3, 1
NA, 18.3, 23.9, 0.8
NA, 17.9, 24.1, 3.8
NA, 19.3, 25.7, 2.8
NA, 18.4, 25.7, 0
NA, 19.3, 25.6, 0
NA, 18.3, 23.5, 18
NA, 19.5, 24.7, 0.5
NA, 19.9, 24.4, 0
NA, 18.4, 24.3, 3.6
NA, 18.8, 24.3, 0.8
NA, 18.7, 25.1, 18
NA, 17.8, 25.4, 0.5
NA, 18.8, 25.1, 0
NA, 18.6, 25.3, 0
NA, 18.2, 25.2, 0
NA, 18.3, 25.7, 0
NA, 19.8, 25.7, 0
NA, 19.6, 30.4, 0
