"Description: ","Linear trend statistics"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
Indices,Frequency,Start Year,End Year,Lower bound,Trend,Upper bound
fd,annual,1936,2015,0,0,0
fd,monthly,1936,2015,0,0,0
fd,DJF,1936,2015,0,0,0
fd,MAM,1936,2015,0,0,0
fd,JJA,1936,2015,0,0,0
fd,SON,1936,2015,0,0,0
tnlt2,annual,1936,2015,0,0,0
tnlt2,monthly,1936,2015,0,0,0
tnlt2,DJF,1936,2015,0,0,0
tnlt2,MAM,1936,2015,0,0,0
tnlt2,JJA,1936,2015,0,0,0
tnlt2,SON,1936,2015,0,0,0
tnltm2,annual,1936,2015,0,0,0
tnltm2,monthly,1936,2015,0,0,0
tnltm2,DJF,1936,2015,0,0,0
tnltm2,MAM,1936,2015,0,0,0
tnltm2,JJA,1936,2015,0,0,0
tnltm2,SON,1936,2015,0,0,0
tnltm20,annual,1936,2015,0,0,0
tnltm20,monthly,1936,2015,0,0,0
tnltm20,DJF,1936,2015,0,0,0
tnltm20,MAM,1936,2015,0,0,0
tnltm20,JJA,1936,2015,0,0,0
tnltm20,SON,1936,2015,0,0,0
id,annual,1936,2015,0,0,0
id,monthly,1936,2015,0,0,0
id,DJF,1936,2015,0,0,0
id,MAM,1936,2015,0,0,0
id,JJA,1936,2015,0,0,0
id,SON,1936,2015,0,0,0
su,annual,1936,2015,0.379310344827586,0.515151515151515,0.653846153846154
su,monthly,1936,2015,0,0,0.00193798449612403
su,DJF,1936,2015,0.184210526315789,0.285714285714286,0.379310344827586
su,MAM,1936,2015,0.0645161290322581,0.120950888192268,0.17910447761194
su,JJA,1936,2015,0,0,0
su,SON,1936,2015,0.0303030303030303,0.0947888589398023,0.153846153846154
tr,annual,1936,2015,0.363636363636364,0.465116279069767,0.565217391304348
tr,monthly,1936,2015,0,0,0
tr,DJF,1936,2015,0.25,0.342105263157895,0.426470588235294
tr,MAM,1936,2015,0,0.0538127413127413,0.1
tr,JJA,1936,2015,0,0,0
tr,SON,1936,2015,0.0212765957446809,0.03125,0.0434782608695652
gsl,annual,1936,2015,0,0,0
txx,annual,1936,2015,-0.0220338983050847,0.00277777777777782,0.03125
txx,monthly,1936,2015,-0.000604838709677414,0.000746268656716429,0.00212014134275619
txx,DJF,1936,2015,-0.0399999999999999,-0.00579710144927534,0.0277777777777778
txx,MAM,1936,2015,-0.0380952380952381,-0.0107417582417582,0.0159999999999999
txx,JJA,1936,2015,-0.00666666666666664,0.0127659574468085,0.030952380952381
txx,SON,1936,2015,-0.0218750000000001,0.0123724489795918,0.0428571428571427
tnn,annual,1936,2015,0.0111111111111111,0.0179487179487179,0.025
tnn,monthly,1936,2015,0.000622406639004151,0.0014792899408284,0.00233812949640288
tnn,DJF,1936,2015,0.00232558139534883,0.0142857142857143,0.0250000000000004
tnn,MAM,1936,2015,0.0098360655737705,0.0205128205128205,0.0300000000000001
tnn,JJA,1936,2015,0.0111111111111111,0.0179487179487179,0.025
tnn,SON,1936,2015,0.0134615384615385,0.0230769230769231,0.0333333333333332
tnx,annual,1936,2015,0.0199999999999999,0.0326086956521739,0.0441860465116279
tnx,monthly,1936,2015,0.000915032679738566,0.00170940170940171,0.00252525252525253
tnx,DJF,1936,2015,0.015625,0.0274509803921568,0.0411764705882353
tnx,MAM,1936,2015,0,0.00975609756097566,0.0199999999999999
tnx,JJA,1936,2015,0,0.0142857142857143,0.0285714285714285
tnx,SON,1936,2015,0.0285714285714285,0.0411764705882353,0.0537313432835821
txn,annual,1936,2015,0.00294117647058825,0.0132352941176471,0.0222222222222223
txn,monthly,1936,2015,0.000907441016333938,0.00163934426229508,0.00238095238095237
txn,DJF,1936,2015,0.0093023255813954,0.0219512195121952,0.0333333333333334
txn,MAM,1936,2015,0.00500000000000007,0.0166666666666667,0.0288888888888889
txn,JJA,1936,2015,0.00227272727272731,0.0133333333333333,0.0228070175438596
txn,SON,1936,2015,0.0162790697674418,0.0245592329106093,0.0333333333333333
dtr,annual,1936,2015,-0.00435747575380204,-0.000620534865987362,0.00329234972677592
dtr,monthly,1936,2015,-0.000313031188525372,-3.50682908822439e-05,0.000246376222050468
dtr,DJF,1936,2015,-0.00961341525857653,-0.00437523173896923,0.000447716458731393
dtr,MAM,1936,2015,-0.00277695064791839,0.00187582145032952,0.00655017921146954
dtr,JJA,1936,2015,-0.00232795698924733,0.00421929824561401,0.0105630227001195
dtr,SON,1936,2015,-0.00826762246117078,-0.00135351077836643,0.0047048496818081
wsdi,annual,1936,2015,0,0,0
wsdi1,annual,1936,2015,0.0985915492957746,0.267857142857143,0.409090909090909
csdi,annual,1936,2015,0,0,0
csdi1,annual,1936,2015,-0.818181818181818,-0.666666666666667,-0.538461538461538
txgt50p,annual,1936,2015,0.238621299160407,0.298879202988792,0.362350861688025
txgt50p,monthly,1936,2015,0.0227578311322485,0.02615518744551,0.0296853354442905
txgt50p,DJF,1936,2015,0.213270792187843,0.325281191088372,0.430050263198205
txgt50p,MAM,1936,2015,0.188323917137477,0.288101319710515,0.385760281878379
txgt50p,JJA,1936,2015,0.222222222222222,0.326352840604787,0.424372759856631
txgt50p,SON,1936,2015,0.201268265784395,0.292397660818713,0.384490061909418
tx10p,annual,1936,2015,-0.216658793890726,-0.184404636459431,-0.152719425068429
tx10p,monthly,1936,2015,-0.0162863435308052,-0.0142734798743934,-0.0122988263405721
tx10p,DJF,1936,2015,-0.233608655418329,-0.171261487050961,-0.115207373271889
tx10p,MAM,1936,2015,-0.231969193560504,-0.179278277164818,-0.125448028673835
tx10p,JJA,1936,2015,-0.217101894521249,-0.169990465596695,-0.127507930622502
tx10p,SON,1936,2015,-0.24726883869893,-0.182460557668153,-0.131182795698925
tx90p,annual,1936,2015,0.030441400304414,0.0645309815361776,0.0974884169690148
tx90p,monthly,1936,2015,0.000444050719473178,0.0033955857385399,0.00531762588456661
tx90p,DJF,1936,2015,-0.0597428155826376,-0.00954834249137864,0.039868561440149
tx90p,MAM,1936,2015,0.0151948061389924,0.0640733941623819,0.112007168458781
tx90p,JJA,1936,2015,0.0449396313653503,0.108428001538991,0.173649734272649
tx90p,SON,1936,2015,0.0011562030292519,0.0485394552876941,0.0960989039530414
tn10p,annual,1936,2015,-0.226883561643836,-0.193141134350857,-0.156274602424815
tn10p,monthly,1936,2015,-0.0167032049274455,-0.0145441838030457,-0.0123685837971552
tn10p,DJF,1936,2015,-0.223396366332963,-0.152941413866251,-0.0882079441590009
tn10p,MAM,1936,2015,-0.25330289015085,-0.177191815330377,-0.107492066476227
tn10p,JJA,1936,2015,-0.259322928955854,-0.20365953907166,-0.1510496671787
tn10p,SON,1936,2015,-0.270053145470276,-0.204194401775047,-0.131936719812137
tn90p,annual,1936,2015,0.100450016072003,0.13072357263991,0.161559687257202
tn90p,monthly,1936,2015,0.00784313725490196,0.00953146873976112,0.0113091933460819
tn90p,DJF,1936,2015,0.113088616981832,0.158642631760911,0.210837022981235
tn90p,MAM,1936,2015,0.0427350427350427,0.0943711473463842,0.143286779549293
tn90p,JJA,1936,2015,0.011472069314116,0.0716845878136202,0.122396798912372
tn90p,SON,1936,2015,0.137395459976105,0.179059036789849,0.222222222222222
tmge5,annual,1936,2015,0,0,0
tmge5,monthly,1936,2015,0,0,0
tmge5,DJF,1936,2015,0,0,0
tmge5,MAM,1936,2015,0,0,0
tmge5,JJA,1936,2015,0,0,0
tmge5,SON,1936,2015,0,0,0
tmlt5,annual,1936,2015,0,0,0
tmlt5,monthly,1936,2015,0,0,0
tmlt5,DJF,1936,2015,0,0,0
tmlt5,MAM,1936,2015,0,0,0
tmlt5,JJA,1936,2015,0,0,0
tmlt5,SON,1936,2015,0,0,0
tmge10,annual,1936,2015,0.0256410256410256,0.0434782608695652,0.0666666666666667
tmge10,monthly,1936,2015,0,0,0
tmge10,DJF,1936,2015,0,0,0
tmge10,MAM,1936,2015,0,0,0
tmge10,JJA,1936,2015,0.0083333333333333,0.0138888888888888,0.0202020202020202
tmge10,SON,1936,2015,0,0,0
tmlt10,annual,1936,2015,-0.0612244897959184,-0.0416666666666667,-0.027027027027027
tmlt10,monthly,1936,2015,0,0,0
tmlt10,DJF,1936,2015,0,0,0
tmlt10,MAM,1936,2015,0,0,0
tmlt10,JJA,1936,2015,-0.0202020202020202,-0.0138888888888889,-0.00854700854700855
tmlt10,SON,1936,2015,0,0,0
txge30,annual,1936,2015,0,0.0476190476190476,0.102564102564103
txge30,monthly,1936,2015,0,0,0
txge30,DJF,1936,2015,-0.05,0,0.0416666666666667
txge30,MAM,1936,2015,-0.015625,0,0
txge30,JJA,1936,2015,0,0,0
txge30,SON,1936,2015,0,0.0136060718252499,0.0487804878048781
txge35,annual,1936,2015,-0.0161290322580645,0,0.0185185185185185
txge35,monthly,1936,2015,0,0,0
txge35,DJF,1936,2015,0,0,0
txge35,MAM,1936,2015,0,0,0
txge35,JJA,1936,2015,0,0,0
txge35,SON,1936,2015,0,0,0
tx95t,NA,1936,2015,-0.00691011235955054,-0.00195018602728399,0.00289699570815449
hddheat18,annual,1936,2015,-3.97547169811321,-3.43137254901961,-2.85769230769231
cddcold18,annual,1936,2015,2.9590909090909,3.72558139534884,4.5111111111111
