Year,Wheat yield (t/ha)
1922,0.66
1923,0.76
1924,1.13
1925,0.78
1926,0.95
1927,0.6
1928,0.81
1929,0.58
1930,0.86
1931,1
1932,1.1
1933,0.84
1934,0.84
1935,0.85
1936,0.94
1937,0.83
1938,0.87
1939,1.17
1940,0.36
1941,0.82
1942,1.15
1943,1.19
1944,0.4
1945,1.11
1946,0.24
1947,1.27
1948,1.08
1949,1.37
1950,0.87
1951,0.57
1952,1.41
1953,1.28
1954,0.87
1955,1.31
1956,1.1
1957,0.32
1958,1.41
1959,1.28
1960,1.33
1961,1.11
1962,1.4
1963,1.6
1964,1.72
1965,0.55
1966,1.86
1967,0.72
1968,1.45
1969,1.27
1970,1.36
1971,0.99
1972,0.75
1973,1.37
1974,1.44
1975,1.55
1976,1.65
1977,1.13
1978,2.09
1979,1.75
1980,0.85
1981,1.64
1982,0.47
1983,2.24
1984,1.61
1985,1.62
1986,1.57
1987,1.62
1988,1.78
1989,1.61
1990,1.91
1991,1.46
1992,2.11
1993,2.57
1994,0.61
1995,1.94
1996,2.62
1997,2.01
1998,2.07
1999,2.51
